num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,,通信費,,,0,,,,0,,,,0
66,22,2,2022-07-25,城北信当座預金,,NTTﾌｧｲﾅﾝｽ､電話料金,0,10,消費税,資金区分,0,,,,0
174,58,2,2022-07-04,現金,,日本郵便､ﾊｶﾞｷ代他,0,10,消費税,資金区分,0,,,,0
228,76,2,2022-07-25,現金,,日本郵便､書留郵便,0,10,消費税,資金区分,0,,,,0
,,,2022-07,,※※月計※※,,0,,,,0,,,,
285,95,2,2022-08-01,三菱東京UFJ当座預金,,NTTﾌｧｲﾅﾝｽ､携帯電話料,0,10,消費税,資金区分,0,,,,0
327,109,2,2022-08-25,城北信当座預金,,NTTﾌｧｲﾅﾝｽ､電話料金,0,10,消費税,資金区分,0,,,,0
330,110,2,2022-08-25,三菱東京UFJ当座預金,,NTTﾌｧｲﾅﾝｽ､携帯電話料,0,10,消費税,資金区分,0,,,,0
,,,2022-08,,※※月計※※,,0,,,,0,,,,
360,120,2,2022-09-22,現金,,NTTﾌｧｲﾅﾝｽ､電話料金,0,10,消費税,資金区分,0,,,,0
,,,2022-09,,※※月計※※,,0,,,,0,,,,
495,165,2,2022-07-31,諸口,,[  7月-  7月 一括税抜],0,,,,0,10,消費税,資金区分,0
,,,2022-07,,※※月計※※,,0,,,,0,,,,
525,175,2,2022-08-31,諸口,,[  8月-  8月 一括税抜],0,,,,0,10,消費税,資金区分,0
,,,2022-08,,※※月計※※,,0,,,,0,,,,
555,185,2,2022-09-30,諸口,,[  9月-  9月 一括税抜],0,,,,0,10,消費税,資金区分,0
,,,2022-09,,※※月計※※,,0,,,,0,,,,0
