num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,期間合計,,,,1130690,,,,9526964,,,,-8396274
258,86,2,2022-07-04,810,売上高,㈲いろは機工､ﾊﾟｲﾌﾟ他納品,30690,,,,0,,,,-9026464
36,12,2,2022-07-14,111,三菱東京UFJ当座預金,㈱越後屋,0,,,,110000,,,,-110000
45,15,2,2022-07-20,999,諸口,大手町機工､振込入金,0,,,,30690,,,,-140690
261,87,2,2022-07-20,810,売上高,神田産業㈱､在庫機材売却,1100000,,,,0,,,,-7926464
60,20,2,2022-07-25,999,諸口,日比谷建業㈱､振込入金,0,,,,6486943,,,,-6627633
63,21,2,2022-07-25,130,受取手形,日比谷建業㈱,0,,,,1210000,,,,-7837633
75,25,2,2022-07-25,201,買掛金,神田産業㈱､相殺,0,,,,1100000,,,,-8937633
144,48,2,2022-07-29,201,買掛金,東京産業㈱､相殺,0,,,,119521,,,,-9057154
,,,2022-07,,※※月計※※,,1130690,,,,9057154,,,,
324,108,2,2022-08-25,999,諸口,㈱縄文式､振込入金,0,,,,469810,,,,-8396274
,,,2022-08,,※※月計※※,,0,,,,469810,,,,-8396274
