num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,,支払手数料,,,0,,,,0,,,,0
12,4,2,2022-07-11,城北信当座預金,,城北信金､ｱﾝｻｰﾎﾝ手数料,0,10,消費税,資金区分,0,,,,0
15,5,2,2022-07-11,諸口,,大田コンサル､顧問料,0,10,消費税,資金区分,0,,,,0
24,8,2,2022-07-11,諸口,,イロハ社労士事務所､労働保険諸手続,0,10,消費税,資金区分,0,,,,0
42,14,2,2022-07-20,諸口,,大手町機工､振込料,0,10,消費税,資金区分,0,,,,0
57,19,2,2022-07-25,諸口,,日比谷建業㈱､振込料,0,10,消費税,資金区分,0,,,,0
105,35,2,2022-07-28,諸口,,ＸＹＺ司法書士､解散登記分,0,10,消費税,資金区分,0,,,,0
159,53,2,2022-07-29,諸口,,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却件登録閉鎖手数料,0,10,消費税,資金区分,0,,,,0
162,54,2,2022-07-29,諸口,,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却件登録閉鎖法定費用,0,,消費税,資金区分,0,,,,0
,,,2022-07,,※※月計※※,,0,,,,0,,,,
291,97,2,2022-08-09,城北信当座預金,,城北信金､残高証明書,0,10,消費税,資金区分,0,,,,0
294,98,2,2022-08-10,城北信当座預金,,城北信金､ｱﾝｻｰﾎﾝ手数料,0,10,消費税,資金区分,0,,,,0
300,100,2,2022-08-10,諸口,,大田コンサル､顧問料,0,10,消費税,資金区分,0,,,,0
321,107,2,2022-08-25,諸口,,㈱縄文式､振込料,0,10,消費税,資金区分,0,,,,0
,,,2022-08,,※※月計※※,,0,,,,0,,,,
348,116,2,2022-09-12,諸口,,大田コンサル､顧問料･決算料,0,10,消費税,資金区分,0,,,,0
,,,2022-09,,※※月計※※,,0,,,,0,,,,
381,127,2,2022-10-04,現金,,城北信金､振込料,0,10,消費税,資金区分,0,,,,0
384,128,2,2022-10-19,現金,,城北信金､振込料,0,10,消費税,資金区分,0,,,,0
390,130,2,2022-10-12,諸口,,大田コンサル､会社清算事務分,0,10,消費税,資金区分,0,,,,0
414,138,2,2022-10-19,諸口,,ＸＹＺ司法書士､会社清算結了登記手数料,0,10,消費税,資金区分,0,,,,0
423,141,2,2022-10-19,現金,,城北信金､振込料,0,10,消費税,資金区分,0,,,,0
,,,2022-10,,※※月計※※,,0,,,,0,,,,
501,167,2,2022-07-31,諸口,,[  7月-  7月 一括税抜],0,,,,0,10,消費税,資金区分,0
,,,2022-07,,※※月計※※,,0,,,,0,,,,
531,177,2,2022-08-31,諸口,,[  8月-  8月 一括税抜],0,,,,0,10,消費税,資金区分,0
,,,2022-08,,※※月計※※,,0,,,,0,,,,
561,187,2,2022-09-30,諸口,,[  9月-  9月 一括税抜],0,,,,0,10,消費税,資金区分,0
,,,2022-09,,※※月計※※,,0,,,,0,,,,
573,191,2,2022-10-31,諸口,,[ 10月- 10月 一括税抜],0,,,,0,10,消費税,資金区分,0
,,,2022-10,,※※月計※※,,0,,,,0,,,,0
