month,account_code,account_name,beginning_balance,debit_amount,credit_amount,ending_balance
2009-12,111,現金,5547824,23446774,22415430,6579168
2009-12,121,当座預金,17648661,293591113,296954731,14285043
2009-12,131,普通預金,53422453,615158839,609113883,59467409
2009-12,148,定期積金,18000000,4500000,0,22500000
2009-12,150,受取手形,88063653,305579051,285347123,108295581
2009-12,152,売掛金,-412095741,632282547,642347330,-422160524
2009-12,183,短期貸付金,-840000,600000,410000,-650000
2009-12,191,仮払消費税等,90307571,24655505,0,114963076
2009-12,248,保険積立金,4500000,1125000,0,5625000
2009-12,301,支払手形,106825075,130206691,114855941,122175825
2009-12,312,買掛金,111509355,360252628,375886088,95875895
2009-12,321,短期借入金,23526000,5881500,0,29407500
2009-12,322,未払金,620946,67641282,72499268,-4237040
2009-12,326,預り金,-19054085,13564359,19421661,-24911387
2009-12,335,仮受消費税等,-109801485,476,30107880,-139908889
2009-12,511,売上高,-2188069367,0,600917223,-2788986590
2009-12,541,商品仕入高,1282362819,357290301,0,1639653120
2009-12,711,役員報酬,61920000,15524172,0,77444172
2009-12,712,給与手当,193301177,47290777,0,240591954
2009-12,721,雑給,13200659,3790337,0,16990996
2009-12,723,法定福利費,28916827,7118317,0,36035144
2009-12,724,福利厚生費,13846594,3890010,0,17736604
2009-12,726,旅費交通費,35625759,8942984,0,44568743
2009-12,727,通信費,39286097,9464393,0,48750490
2009-12,728,業務委託費,74261218,19122153,0,93383371
2009-12,731,運賃,129337052,36786508,0,166123560
2009-12,732,広告宣伝費,5920419,1527819,0,7448238
2009-12,733,交際接待費,11720785,3188098,0,14908883
2009-12,734,会議費,1060183,243274,0,1303457
2009-12,736,水道光熱費,21227011,5402357,0,26629368
2009-12,737,消耗品費,10354178,4879550,2439775,12793953
2009-12,738,租税公課,0,239000,0,239000
2009-12,739,新聞図書費,881424,220356,0,1101780
2009-12,740,車両費,20749897,5422006,0,26171903
2009-12,741,支払手数料,407050,103600,0,510650
2009-12,742,諸会費,4176000,1044000,0,5220000
2009-12,746,支払報酬,4790088,1197522,0,5987610
2009-12,747,地代家賃,118251432,29562858,0,147814290
2009-12,752,保険料,11477520,2869380,0,14346900
2009-12,754,事務用消耗品費,4607561,1107590,0,5715151
2009-12,791,雑費,16800368,4220758,0,21021126
2009-12,821,支払利息,4492609,1050085,0,5542694
,,,,3057250775,3073660817,
