UniqueID,Acronym,name,type,DictionaryEntryName,Definition
UN01003138,ABIE,BranchFinancialInstitution,ram:BranchFinancialInstitutionType,Branch_ Financial Institution. Details,"A sub-division of a bank, building society, credit union, stock brokerage, or similar business; established primarily to provide financial services and financial transactions."
UN01015590,ABIE,CIAdvancePayment,ram:CIAdvancePaymentType,CI_ Advance_ Payment. Details,A specific Cross Industry (CI) business arrangement whereby a prepaid discharge of obligations in respect of funds or securities is transferred between two or more parties.
UN01005398,ABIE,CICreditorFinancialAccount,ram:CICreditorFinancialAccountType,CI_ Creditor_ Financial Account. Details,A specific Cross Industry (CI) business arrangement whereby credits arising from transactions are recorded.
UN01005402,ABIE,CICreditorFinancialInstitution,ram:CICreditorFinancialInstitutionType,CI_ Creditor_ Financial Institution. Details,"A bank, building society, credit union, stock brokerage, or similar business of the Cross Industry (CI) party that receives money."
UN01005471,ABIE,CIDocumentContextParameter,ram:CIDocumentContextParameterType,CI_ Document Context_ Parameter. Details,A feature that is fixed for a particular Cross Industry (CI) document context.
UN01005475,ABIE,CIDocumentVersion,ram:CIDocumentVersionType,CI_ Document_ Version. Details,A specific variant of a Cross Industry (CI) document.
UN01005479,ABIE,CIExchangedDocumentContext,ram:CIExchangedDocumentContextType,CI_ Exchanged Document_ Context. Details,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context."
UN01005487,ABIE,CIFinancialAdjustment,ram:CIFinancialAdjustmentType,CI_ Financial_ Adjustment. Details,A correction or modification to reflect actual Cross Industry (CI) financial conditions.
UN01005861,ABIE,CIIHExchangedDocument,ram:CIIHExchangedDocumentType,CIIH_ Exchanged_ Document. Details,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form."
UN01005878,ABIE,CIIHSupplyChainTradeAgreement,ram:CIIHSupplyChainTradeAgreementType,CIIH_ Supply Chain_ Trade Agreement. Details,The contractual terms of the supply chain trade agreement for this Cross Industry Invoice Header (CIIH).
UN01005909,ABIE,CIIHSupplyChainTradeSettlement,ram:CIIHSupplyChainTradeSettlementType,CIIH_ Supply Chain_ Trade Settlement. Details,The information that enables the financial reconciliation of the Cross Industry Invoice Header (CIIH) of a supply chain transaction with the item(s) that the financial transaction is intended to settle.
UN01005936,ABIE,CIIHSupplyChainTradeTransaction,ram:CIIHSupplyChainTradeTransactionType,CIIH_ Supply Chain_ Trade Transaction. Details,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH)."
UN01005941,ABIE,CIIHTradeSettlementMonetarySummation,ram:CIIHTradeSettlementMonetarySummationType,CIIH_ Trade Settlement_ Monetary Summation. Details,A collection of trade settlement monetary totals specified for this Cross Industry Invoice Header (CIIH).
UN01009647,ABIE,CIILBSubordinateTradeLineItem,ram:CIILBSubordinateTradeLineItemType,CIILB_ Subordinate_ Trade Line Item. Details,A collection of information specific to a Cross Industry Invoice Line Breakdown (CIILB) item being used or reported on for trade purposes.
UN01009653,ABIE,CIILBSupplyChainTradeAgreement,ram:CIILBSupplyChainTradeAgreementType,CIILB_ Supply Chain_ Trade Agreement. Details,The contractual terms of a Cross Industry Invoice Line Breakdown (CIILB) supply chain trade agreement.
UN01009659,ABIE,CIILBSupplyChainTradeDelivery,ram:CIILBSupplyChainTradeDeliveryType,CIILB_ Supply Chain_ Trade Delivery. Details,Cross Industry Invoice Line Breakdown (CIILB) supply chain shipping arrangements and movement of products and or services including despatch and delivery.
UN01009664,ABIE,CIILBSupplyChainTradeSettlement,ram:CIILBSupplyChainTradeSettlementType,CIILB_ Supply Chain_ Trade Settlement. Details,The Cross Industry Invoice Line Breakdown (CIILB) information that enables the financial reconciliation of a supply chain transaction with the item(s) that the financial transaction is intended to settle.
UN01005953,ABIE,CIILDocumentLineDocument,ram:CIILDocumentLineDocumentType,CIIL_ Document Line_ Document. Details,A document line for this Cross Industry Invoice Line (CIIL).
UN01005958,ABIE,CIILSupplyChainTradeAgreement,ram:CIILSupplyChainTradeAgreementType,CIIL_ Supply Chain_ Trade Agreement. Details,The contractual terms applicable to a line item in a Cross Industry Invoice Line (CIIL) supply chain trade agreement.
UN01005968,ABIE,CIILSupplyChainTradeDelivery,ram:CIILSupplyChainTradeDeliveryType,CIIL_ Supply Chain_ Trade Delivery. Details,Supply chain shipping arrangements applicable to a line item for a Cross Industry Invoice Line (CIIL) supply chain trade delivery.
UN01005988,ABIE,CIILSupplyChainTradeLineItem,ram:CIILSupplyChainTradeLineItemType,CIIL_ Supply Chain_ Trade Line Item. Details,A collection of Cross Industry Invoice Line (CIIL) information specific to an item being used or reported on for supply chain trade purposes.
UN01005994,ABIE,CIILSupplyChainTradeSettlement,ram:CIILSupplyChainTradeSettlementType,CIIL_ Supply Chain_ Trade Settlement. Details,The Cross Industry Invoice Line (CIIL) information that enables the financial reconciliation of a supply chain transaction with the item(s) that the financial transaction is intended to settle.
UN01006006,ABIE,CIILTradeSettlementMonetarySummation,ram:CIILTradeSettlementMonetarySummationType,CIIL_ Trade Settlement_ Monetary Summation. Details,A collection of trade settlement monetary totals specified for this Cross Industry Invoice Line (CIIL).
UN01005557,ABIE,CINote,ram:CINoteType,CI_ Note. Details,"A textual or coded Cross Industry (CI) description, such as a remark or additional information."
UN01005567,ABIE,CIProductCharacteristic,ram:CIProductCharacteristicType,CI_ Product_ Characteristic. Details,A prominent attribute or aspect of a Cross Industry (CI) product.
UN01005573,ABIE,CIProductClassification,ram:CIProductClassificationType,CI_ Product_ Classification. Details,A systematic arrangement of Cross Industry (CI) products in classes or categories according to established criteria.
