Semmantic Sort,ID,Section,PINT Cardinality,Aligned,Aligned Cardinality,Level,Business Term,名称,Semantic datatype,Desc,定義,Explanation,解説,Example,Syntax Sort,UBL element,UBL datatype,UBL syntax binding,selectors,UBL syntax binding XPath,Restricted syntax cardinality,UBL Occurrence
1000,ibg-00,Shared,1..1,,1..1,,Invoice,デジタルインボイス,,Commercial invoice,請求書,,,,1000,ubl:Invoice,InvoiceType,,,/ubl:Invoice,1..1,1..1
1290,ibt-024,Shared,1..1,,1..1,1,Specification identifier,仕様ID,Identifier,"An identification of the specification containing the total set of rules regarding semantic content	 cardinalities and business rules to which the data contained in the instance document conforms.",取引プロセスのID。セマンティックコンテンツ、カーディナリティや、インスタンス文書に含まれているデータが準拠すべきビジネスルールに関するルール一式を含む、仕様を識別する。,,,urn:fdc:peppol:jp:billing:3.0,1010,cbc:CustomizationID,udt:IdentifierType,ubl:Invoice/cbc:CustomizationID,,/ubl:Invoice/cbc:CustomizationID,1..1,0..1
1280,ibt-023,Shared,1..1,,1..1,1,Business process type,ビジネスプロセスタイプ,Text,"Identifies the business process context in which the transaction appears	 to enable the Buyer to process the Invoice in an appropriate way.",取引プロセスの名称。買い手が適切な方法で請求書を処理することができるように、取引が行われたビジネスプロセスを識別する。,,,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,1020,cbc:ProfileID,udt:IdentifierType,ubl:Invoice/cbc:ProfileID,,/ubl:Invoice/cbc:ProfileID,1..1,0..1
1010,ibt-001,Shared,1..1,,1..1,0,Invoice number,請求書番号,Identifier,A unique identification of the Invoice.,請求書の一意識別番号。,,売り手が付番した請求書を一意に識別する番号または文字列。,0156,1030,cbc:ID,udt:IdentifierType,ubl:Invoice/cbc:ID,,/ubl:Invoice/cbc:ID,1..1,1..1
1020,ibt-002,Shared,1..1,,1..1,0,Invoice issue date,請求書発行日,Date,The date when the Invoice was issued.,請求書の発行日付。,The date is described in the Christian era and is YYYY-MM-DD. ,日付表示は西暦表示で、YYYY-MM-DD となる。,2023-10-24,1040,cbc:IssueDate,udt:DateType,ubl:Invoice/cbc:IssueDate,,/ubl:Invoice/cbc:IssueDate,1..1,1..1
1030,ibt-168,Shared,0..1,,0..1,0,Invoice issue time,請求書発行時刻,Time,The time of day when an invoice was issued,請求書の発行時刻。,,,,1050,cbc:IssueTime,udt:TimeType,ubl:Invoice/cbc:IssueTime,,/ubl:Invoice/cbc:IssueTime,0..1,0..1
1090,ibt-009,Shared,0..1,,0..1,0,Payment due date,支払期日,Date,The date when the payment is due.,支払条件で示された支払期日。,The date is described in the Christian era and is YYYY-MM-DD. ,日付表示は西暦表示で、YYYY-MM-DD となる。,2023-11-20,1060,cbc:DueDate,udt:DateType,ubl:Invoice/cbc:DueDate,,/ubl:Invoice/cbc:DueDate,0..1,0..1
1040,ibt-003,Shared,1..1,,1..1,0,Invoice type code,請求書タイプコード,Code,A code specifying the functional type of the Invoice.,この文書のタイプを識別するコード。請求書の機能を特定するためのコード。,,適格請求書は380,380,1070,cbc:InvoiceTypeCode,udt:CodeType,ubl:Invoice/cbc:InvoiceTypeCode,,/ubl:Invoice/cbc:InvoiceTypeCode,1..1,0..1
1260,ibt-022,Shared,0..1,,0..1,0,Invoice note,請求書注釈内容,Text,A textual note that gives unstructured information that is relevant to the Invoice as a whole.,注釈の内容を入力するフリースペース。,,,,1080,cbc:Note,udt:TextType,ubl:Invoice/cbc:Note,,/ubl:Invoice/cbc:Note,0..1,0..n
1070,ibt-007,Aligned,0..1,,0..1,0,TAX point date,課税基準日,Date,"The date when the TAX becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice	 according to the TAX directive.",,"The date is described in the Christian era and is YYYY-MM-DD. 
",日付表示は西暦表示で、YYYY-MM-DD となる。,,1090,cbc:TaxPointDate,udt:DateType,ubl:Invoice/cbc:TaxPointDate,,/ubl:Invoice/cbc:TaxPointDate,0..1,0..1
1050,ibt-005,Shared,1..1,,1..1,0,Invoice currency code,請求書通貨コード,Code,"The currency in which all Invoice amounts are given	 except for the Total TAX amount in accounting currency.",請求書に記載された通貨を表すコード。会計通貨での請求書消費税合計金額を除き、請求書に記載されている全て金額の表示の通貨コード。,The currency code must be the one listed in the ISO 4217 Currency codes. ,通貨コードは、ISO 4217 Currency codes で定められているものを使用しなければならない。,JPY,1100,cbc:DocumentCurrencyCode,udt:CodeType,ubl:Invoice/cbc:DocumentCurrencyCode,,/ubl:Invoice/cbc:DocumentCurrencyCode,1..1,0..1
