month,account_code,account_name,beginning_balance,debit_amount,credit_amount,ending_balance
2009-05,111,現金,-576361,5293382,5175818,-458797
2009-05,121,当座預金,924593,65892305,64737828,2079070
2009-05,131,普通預金,7539155,169161375,161732006,14968524
2009-05,148,定期積金,500000,1000000,0,1500000
2009-05,150,受取手形,14999059,73475438,57036356,31438141
2009-05,152,売掛金,-34639612,128309679,178892249,-85222182
2009-05,183,短期貸付金,-40000,0,80000,-120000
2009-05,191,仮払消費税等,2431988,4957571,0,7389559
2009-05,248,保険積立金,125000,250000,0,375000
2009-05,301,支払手形,-1923008,37448568,32619470,2906090
2009-05,312,買掛金,16234888,88683198,73371602,31546484
2009-05,321,短期借入金,653500,1307000,0,1960500
2009-05,322,未払金,55447,15113937,14792977,376407
2009-05,326,預り金,-586897,2921539,3971497,-1636855
2009-05,335,仮受消費税等,-3025189,0,6109815,-9135004
2009-05,511,売上高,-60337616,0,121527464,-181865080
2009-05,521,売上値引戻り高,-167936,0,672400,-840336
2009-05,541,商品仕入高,33801800,69464477,0,103266277
2009-05,551,仕入値引戻し高,192740,413684,0,606424
2009-05,711,役員報酬,1720000,3440000,0,5160000
2009-05,712,給与手当,5702352,11217982,0,16920334
2009-05,721,雑給,396465,628137,0,1024602
2009-05,723,法定福利費,743926,1508411,0,2252337
2009-05,724,福利厚生費,267798,630881,0,898679
2009-05,726,旅費交通費,973043,2092213,0,3065256
2009-05,727,通信費,1251864,2366969,0,3618833
2009-05,728,業務委託費,2158096,4103335,0,6261431
2009-05,731,運賃,3532405,7047279,0,10579684
2009-05,732,広告宣伝費,182382,351145,0,533527
2009-05,733,交際接待費,378881,800187,0,1179068
2009-05,734,会議費,23805,76639,0,100444
2009-05,736,水道光熱費,615042,1260816,0,1875858
2009-05,737,消耗品費,352077,1244538,622269,974346
2009-05,738,租税公課,56000,122000,0,178000
2009-05,739,新聞図書費,24484,48968,0,73452
2009-05,740,車両費,590077,1171235,0,1761312
2009-05,741,支払手数料,10050,21900,0,31950
2009-05,742,諸会費,116000,232000,0,348000
2009-05,744,リース料,279858,559716,0,839574
2009-05,746,支払報酬,133058,266116,0,399174
2009-05,747,地代家賃,3284762,6569524,0,9854286
2009-05,752,保険料,318820,637640,0,956460
2009-05,753,修繕維持費,34143,151001,0,185144
2009-05,754,事務用消耗品費,137682,281229,0,418911
2009-05,791,雑費,464322,936858,0,1401180
2009-05,821,支払利息,91057,209401,0,300458
,,,,711668273,721341751,
