month,account_code,account_name,beginning_balance,debit_amount,credit_amount,ending_balance
2009-10,111,現金,3769082,17543943,16639633,4673392
2009-10,121,当座預金,9339661,237458700,229763983,17034378
2009-10,131,普通預金,43079335,477607952,472565495,48121792
2009-10,148,定期積金,10500000,3500000,0,14000000
2009-10,150,受取手形,66135252,236447766,229107989,73475029
2009-10,152,売掛金,-311493096,446500871,501744026,-366736251
2009-10,183,短期貸付金,-840000,0,280000,-1120000
2009-10,191,仮払消費税等,52229050,17558237,0,69787287
2009-10,248,保険積立金,2625000,875000,0,3500000
2009-10,301,支払手形,71290446,107043848,89165821,89168473
2009-10,312,買掛金,91875841,276907403,263004221,105779023
2009-10,321,短期借入金,13723500,4574500,0,18298000
2009-10,322,未払金,1107976,51984868,52233345,859499
2009-10,326,預り金,-11449242,10655065,14205731,-14999908
2009-10,335,仮受消費税等,-63738166,476,21261350,-84999040
2009-10,511,売上高,-1269271859,0,423982077,-1693253936
2009-10,541,商品仕入高,738286910,249783095,0,988070005
2009-10,711,役員報酬,36120000,12040000,0,48160000
2009-10,712,給与手当,113997825,37054004,0,151051829
2009-10,721,雑給,7164855,2669307,0,9834162
2009-10,723,法定福利費,16970126,5591695,0,22561821
2009-10,724,福利厚生費,7817759,2905109,0,10722868
2009-10,726,旅費交通費,20882640,6889196,0,27771836
2009-10,727,通信費,23496573,7421566,0,30918139
2009-10,728,業務委託費,43781866,14362914,0,58144780
2009-10,731,運賃,74605836,25117664,0,99723500
2009-10,732,広告宣伝費,3411927,1163055,0,4574982
2009-10,733,交際接待費,7122849,2131845,0,9254694
2009-10,734,会議費,645050,195664,0,840714
2009-10,736,水道光熱費,12485513,4066009,0,16551522
2009-10,737,消耗品費,6166412,3953784,1976892,8143304
2009-10,738,租税公課,352000,187000,0,539000
2009-10,739,新聞図書費,514164,171388,0,685552
2009-10,740,車両費,11841816,4115734,0,15957550
2009-10,741,支払手数料,235100,79800,0,314900
2009-10,742,諸会費,2436000,812000,0,3248000
2009-10,744,リース料,0,1959006,0,1959006
2009-10,746,支払報酬,2794218,931406,0,3725624
2009-10,747,地代家賃,68980002,22993334,0,91973336
2009-10,752,保険料,6695220,2231740,0,8926960
2009-10,753,修繕維持費,1010577,270287,0,1280864
2009-10,754,事務用消耗品費,2760551,869484,0,3630035
2009-10,791,雑費,9807911,3261622,0,13069533
2009-10,821,支払利息,2643552,878014,0,3521566
,,,,2307505005,2316875047,
