seq,month_type,category,format,creation_method,note,slip_date,slip_number,slip_summary,branch_number,debit_department,debit_department_name,debit_account,debit_account_name,debit_subaccount,debit_subaccount_name,debit_amount,debit_tax_code,debit_tax_industry,debit_tax_rate,debit_fund_type,debit_optional_item_1,debit_optional_item_2,credit_department,credit_department_name,credit_account,credit_account_name,credit_subaccount,credit_subaccount_name,credit_amount,credit_tax_code,credit_tax_industry,credit_tax_rate,credit_fund_type,credit_optional_item_1,credit_optional_item_2,summary,due_date,voucher_number,input_machine,input_user,input_app,input_company,input_date
1,0,0,4,0,0,20220704,1,,1,,,100,現金,,," 150,000 ",0,,,,,,,,110,城北信当座預金,,," 150,000 ",0,,,,,,預金引出,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
2,0,0,4,0,0,20220704,2,,1,,,529,修繕費,,," 50,000 ",32,,10,56,,,,,100,現金,,," 50,000 ",0,,,,,,ＡＢＣ工務店､看板取り外し処分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
3,0,0,4,0,0,20220711,3,,1,,,204,未払金,,," 7,860 ",0,,,67,,,,,110,城北信当座預金,,," 7,860 ",0,,,,,,信金ｸﾚｼﾞｯﾄ扱ETC､有料道路代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
4,0,0,4,0,0,20220711,4,,1,,,512,支払手数料,,," 1,100 ",32,,10,56,,,,,110,城北信当座預金,,," 1,100 ",0,,,,,,城北信金､ｱﾝｻｰﾎﾝ手数料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
5,0,0,3,0,0,20220711,5,,1,,,512,支払手数料,,," 24,444 ",32,,10,56,,,,,999,諸口,,," 24,444 ",0,,,,,,大田コンサル､顧問料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
6,0,0,3,0,0,20220711,5,,2,,,999,諸口,,," 22,176 ",0,,,,,,,,110,城北信当座預金,,," 22,176 ",0,,,,,,大田コンサル､顧問料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
7,0,0,3,0,0,20220711,5,,3,,,999,諸口,,," 2,268 ",0,,,,,,,,208,預り金,,," 2,268 ",0,,,4,,,大田コンサル､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
8,0,0,3,0,0,20220711,6,,1,,,512,支払手数料,,," 55,000 ",32,,10,56,,,,,999,諸口,,," 55,000 ",0,,,,,,イロハ社労士事務所､労働保険諸手続,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
9,0,0,3,0,0,20220711,6,,2,,,999,諸口,,," 49,895 ",0,,,,,,,,110,城北信当座預金,,," 49,895 ",0,,,,,,イロハ社労士事務所､労保諸手続報酬払い,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
10,0,0,3,0,0,20220711,6,,3,,,999,諸口,,," 5,105 ",0,,,,,,,,208,預り金,,," 5,105 ",0,,,4,,,イロハ社労士事務所､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
11,0,0,4,0,0,20220712,7,,1,,,154,仮払金,,," 50,000 ",0,,,64,,,,,110,城北信当座預金,,," 50,000 ",0,,,,,,ＸＹＺ司法書士､解散登記法定費用分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
12,0,0,4,0,0,20220714,8,,1,,,111,三菱東京UFJ当座預金,,," 110,000 ",0,,,,,,,,131,売掛金,,," 110,000 ",0,,,2,,,㈱越後屋,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
13,0,0,3,0,0,20220720,9,,1,,,111,三菱東京UFJ当座預金,,," 29,810 ",0,,,,,,,,999,諸口,,," 29,810 ",0,,,,,,大手町機工､売掛回収,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
14,0,0,3,0,0,20220720,9,,2,,,512,支払手数料,,, 880 ,32,,10,56,,,,,999,諸口,,, 880 ,0,,,,,,大手町機工､振込料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
15,0,0,3,0,0,20220720,9,,3,,,999,諸口,,," 30,690 ",0,,,,,,,,131,売掛金,,," 30,690 ",0,,,2,,,大手町機工､振込入金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
16,0,0,4,0,0,20220725,10,,1,,,528,地代・家賃,,," 14,300 ",32,,10,55,,,,,110,城北信当座預金,,," 14,300 ",0,,,,,,"八重洲商事駐車場､13,000X税1,300､8月分",,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
17,0,0,4,0,0,20220725,11,,1,,,110,城北信当座預金,,," 6,600,000 ",0,,,,,,,,111,三菱東京UFJ当座預金,,," 6,600,000 ",0,,,,,,銀行振替,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
18,0,0,3,0,0,20220725,12,,1,,,111,三菱東京UFJ当座預金,,," 6,486,393 ",0,,,,,,,,999,諸口,,," 6,486,393 ",0,,,,,,日比谷建業㈱､売掛回収,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
19,0,0,3,0,0,20220725,12,,2,,,512,支払手数料,,, 550 ,32,,10,56,,,,,999,諸口,,, 550 ,0,,,,,,日比谷建業㈱､振込料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
20,0,0,3,0,0,20220725,12,,3,,,999,諸口,,," 6,486,943 ",0,,,,,,,,131,売掛金,,," 6,486,943 ",0,,,2,,,日比谷建業㈱､振込入金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
21,0,0,4,0,0,20220725,13,,1,,,130,受取手形,,," 1,210,000 ",0,,,3,,,,,131,売掛金,,," 1,210,000 ",0,,,2,,,日比谷建業㈱,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
22,0,0,4,0,0,20220725,14,,1,,,523,通信費,,," 6,496 ",32,,10,56,,,,,110,城北信当座預金,,," 6,496 ",0,,,,,,NTTﾌｧｲﾅﾝｽ､電話料金,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
23,0,0,4,0,0,20220725,15,,1,,,201,買掛金,,," 1,210,000 ",0,,,43,,,,,130,受取手形,,," 1,210,000 ",0,,,3,,,神田産業㈱､日比谷建業㈱分裏書,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
24,0,0,4,0,0,20220725,16,,1,,,201,買掛金,,," 509,464 ",0,,,43,,,,,110,城北信当座預金,,," 509,464 ",0,,,,,,神田産業㈱,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
25,0,0,4,0,0,20220725,17,,1,,,201,買掛金,,," 1,100,000 ",0,,,43,,,,,131,売掛金,,," 1,100,000 ",0,,,2,,,神田産業㈱､相殺,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
26,0,0,4,0,0,20220726,26,,1,,,208,預り金,,," 7,373 ",0,,,68,,,,,100,現金,,," 7,373 ",0,,,,,,麹町税務署､源泉所得税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
27,0,0,3,0,0,20220726,27,,1,,,110,城北信当座預金,,," 10,007,756 ",0,,,,,,,,999,諸口,,," 10,007,756 ",0,,,,,,城北信金､定期預金解約,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,20220906
28,0,0,3,0,0,20220726,27,,2,,,999,諸口,,," 10,007,678 ",0,,,,,,,,125,城北信定期預金,,," 10,007,678 ",0,,,28,,,城北信金､定期預金解約,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,20220906
