月,コード,科目,前月残高,借方,貸方,当月残高
2022-09,100,現金,-5754,0,36474,-42228
2022-09,110,城北信当座預金,17462918,224,4239496,13223646
2022-09,529,修繕費,110055,4840,440,114455
2022-09,204,未払金,23210,4000000,0,4023210
2022-09,512,支払手数料,225489,264000,24000,465489
2022-09,999,諸口,1,289322,289322,1
2022-09,208,預り金,13780,26772,24504,16048
2022-09,154,仮払金,0,0,0,0
2022-09,111,三菱東京UFJ当座預金,477667,0,4840,472827
2022-09,131,売掛金,-8396274,0,0,-8396274
2022-09,528,地代・家賃,13000,0,0,13000
2022-09,130,受取手形,0,0,0,0
2022-09,523,通信費,21402,6102,555,26949
2022-09,201,買掛金,7132249,0,0,7132249
2022-09,125,城北信定期預金,-15897778,0,0,-15897778
2022-09,600,受取利息,-103,0,0,-103
2022-09,526,租税公課,49035,0,0,49035
2022-09,531,保険料,15,0,0,15
2022-09,701,固定資産譲渡収入,-863641,0,0,-863641
2022-09,525,消耗品費,11487,0,0,11487
2022-09,153,未収入金,0,0,0,0
2022-09,521,接待交際費,21989,0,0,21989
2022-09,522,旅費・交通費,14273,3600,327,17546
2022-09,202,借入金,126520,0,0,126520
2022-09,712,固定資産譲渡費用,5,0,0,5
2022-09,165,備品,-5,0,0,-5
2022-09,810,売上高,-1027900,0,0,-1027900
2022-09,461,仕入高,20130,0,0,20130
2022-09,181,出資金,-50000,0,0,-50000
2022-09,209,未払消費税等,609600,0,0,609600
2022-09,211,法人税等充当金,35000,0,0,35000
2022-09,538,雑費,18000,0,0,18000
2022-09,604,雑収入,0,0,224,-224
2022-09,700,固定資産売却益,0,0,0,0
2022-09,214,仮受消費税,-189154,0,0,-189154
2022-09,174,仮払消費税,44784,25322,0,70106
2022-09,800,法人税等充当額,0,0,0,0
2022-09,713,役員退職金,0,0,0,0
