月,コード,科目,前月残高,借方,貸方,当月残高
2022-10,100,現金,-42228,17686856,17543434,101194
2022-10,110,城北信当座預金,13223646,505456,17306749,-3577647
2022-10,111,三菱東京UFJ当座預金,472827,0,634606,-161779
2022-10,125,城北信定期預金,-15897778,0,0,-15897778
2022-10,130,受取手形,0,0,0,0
2022-10,131,売掛金,-8396274,0,0,-8396274
2022-10,153,未収入金,0,0,0,0
2022-10,154,仮払金,0,0,0,0
2022-10,165,備品,-5,0,0,-5
2022-10,174,仮払消費税,70106,34774,104880,0
2022-10,181,出資金,-50000,0,0,-50000
2022-10,201,買掛金,7132249,0,0,7132249
2022-10,202,借入金,126520,432104,0,558624
2022-10,204,未払金,4023210,379918,0,4403128
2022-10,208,預り金,16048,22462,22462,16048
2022-10,209,未払消費税等,609600,0,84100,525500
2022-10,211,法人税等充当金,35000,0,23300,11700
2022-10,214,仮受消費税,-189154,189154,0,0
2022-10,461,仕入高,20130,0,0,20130
2022-10,512,支払手数料,465489,257640,23422,699707
2022-10,521,接待交際費,21989,0,0,21989
2022-10,522,旅費・交通費,17546,0,0,17546
2022-10,523,通信費,26949,0,0,26949
2022-10,525,消耗品費,11487,0,0,11487
2022-10,526,租税公課,49035,3772,0,52807
2022-10,528,地代・家賃,13000,0,0,13000
2022-10,529,修繕費,114455,74877,6807,182525
2022-10,531,保険料,15,0,0,15
2022-10,538,雑費,18000,50000,4545,63455
2022-10,600,受取利息,-103,0,0,-103
2022-10,604,雑収入,-224,0,174,-398
2022-10,700,固定資産売却益,0,0,863634,-863634
2022-10,701,固定資産譲渡収入,-863641,863641,0,0
2022-10,712,固定資産譲渡費用,5,0,7,-2
2022-10,713,役員退職金,0,16094166,0,16094166
2022-10,800,法人税等充当額,0,23300,0,23300
2022-10,810,売上高,-1027900,0,0,-1027900
2022-10,999,諸口,1,1346341,1346341,1
