月,コード,科目,前月残高,借方,貸方,当月残高
2022-07,100,現金,0,150000,140525,9475
2022-07,110,城北信当座預金,0,23273667,5151387,18122280
2022-07,111,三菱東京UFJ当座預金,0,6626203,6604840,21363
2022-07,125,城北信定期預金,0,0,15897778,-15897778
2022-07,130,受取手形,0,1210000,1210000,0
2022-07,131,売掛金,0,1130690,9057154,-7926464
2022-07,153,未収入金,0,100005,100005,0
2022-07,154,仮払金,0,50000,50000,0
2022-07,165,備品,0,0,5,-5
2022-07,174,仮払消費税,0,38613,0,38613
2022-07,181,出資金,0,0,0,0
2022-07,201,買掛金,0,7154392,22143,7132249
2022-07,202,借入金,0,134838,16048,118790
2022-07,204,未払金,0,7860,0,7860
2022-07,208,預り金,0,23421,12172,11249
2022-07,209,未払消費税等,0,0,0,0
2022-07,211,法人税等充当金,0,0,0,0
2022-07,214,仮受消費税,0,0,189154,-189154
2022-07,461,仕入高,0,22143,2013,20130
2022-07,512,支払手数料,0,220874,19607,201267
2022-07,521,接待交際費,0,23910,1921,21989
2022-07,522,旅費・交通費,0,13000,1182,11818
2022-07,523,通信費,0,9640,876,8764
2022-07,525,消耗品費,0,12636,1149,11487
2022-07,526,租税公課,0,49035,0,49035
2022-07,528,地代・家賃,0,14300,1300,13000
2022-07,529,修繕費,0,116220,10565,105655
2022-07,531,保険料,0,15,0,15
2022-07,538,雑費,0,0,0,0
2022-07,600,受取利息,0,0,103,-103
2022-07,604,雑収入,0,0,0,0
2022-07,700,固定資産売却益,0,0,0,0
2022-07,701,固定資産譲渡収入,0,86364,950005,-863641
2022-07,712,固定資産譲渡費用,0,5,0,5
2022-07,713,役員退職金,0,0,0,0
2022-07,800,法人税等充当額,0,0,0,0
2022-07,810,売上高,0,102790,1130690,-1027900
2022-07,999,諸口,0,23678197,23678196,1
