month,account_code,account_name,beginning_balance,debit_amount,credit_amount,ending_balance
2009-11,111,現金,4673392,20189952,19315520,5547824
2009-11,121,当座預金,17034378,262794879,262180596,17648661
2009-11,131,普通預金,48121792,540465222,535164561,53422453
2009-11,148,定期積金,14000000,4000000,0,18000000
2009-11,150,受取手形,73475029,269093146,254504522,88063653
2009-11,152,売掛金,-366736251,520875796,566235286,-412095741
2009-11,183,短期貸付金,-1120000,600000,320000,-840000
2009-11,191,仮払消費税等,69787287,20520284,0,90307571
2009-11,248,保険積立金,3500000,1000000,0,4500000
2009-11,301,支払手形,89168473,118774286,101117684,106825075
2009-11,312,買掛金,105779023,315469491,309739159,111509355
2009-11,321,短期借入金,18298000,5228000,0,23526000
2009-11,322,未払金,859499,59818037,60056590,620946
2009-11,326,預り金,-14999908,12106462,16160639,-19054085
2009-11,335,仮受消費税等,-84999040,476,24802921,-109801485
2009-11,511,売上高,-1693253936,0,494815431,-2188069367
2009-11,541,商品仕入高,988070005,294292814,0,1282362819
2009-11,711,役員報酬,48160000,13760000,0,61920000
2009-11,712,給与手当,151051829,42249348,0,193301177
2009-11,721,雑給,9834162,3366497,0,13200659
2009-11,723,法定福利費,22561821,6355006,0,28916827
2009-11,724,福利厚生費,10722868,3123726,0,13846594
2009-11,726,旅費交通費,27771836,7853923,0,35625759
2009-11,727,通信費,30918139,8367958,0,39286097
2009-11,728,業務委託費,58144780,16116438,0,74261218
2009-11,731,運賃,99723500,29613552,0,129337052
2009-11,732,広告宣伝費,4574982,1345437,0,5920419
2009-11,733,交際接待費,9254694,2466091,0,11720785
2009-11,734,会議費,840714,219469,0,1060183
2009-11,736,水道光熱費,16551522,4675489,0,21227011
2009-11,737,消耗品費,8143304,4421748,2210874,10354178
2009-11,739,新聞図書費,685552,195872,0,881424
2009-11,740,車両費,15957550,4792347,0,20749897
2009-11,741,支払手数料,314900,92150,0,407050
2009-11,742,諸会費,3248000,928000,0,4176000
2009-11,744,リース料,1959006,2238864,0,4197870
2009-11,746,支払報酬,3725624,1064464,0,4790088
2009-11,747,地代家賃,91973336,26278096,0,118251432
2009-11,752,保険料,8926960,2550560,0,11477520
2009-11,753,修繕維持費,1280864,287287,0,1568151
2009-11,754,事務用消耗品費,3630035,977526,0,4607561
2009-11,791,雑費,13069533,3730835,0,16800368
2009-11,821,支払利息,3521566,971043,0,4492609
,,,,2638198225,2647568267,
