seq,part,UNID,kind,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,term,desc,card
1,ヘッダ部,,MA,SME_ Consolidated Invoice,,,,,,,,,,,,統合請求書,受注者が発注者に交付する統合請求文書（メッセージ）,－
2,ヘッダ部,UN01005479,ASMA,CI_ Exchanged Document_ Context. Details,,,,,,,,,,,,取引設定クラス,メッセージの設定内容に関する情報からなるクラス,0..1
3,ヘッダ部,UN01005480,BBIE,,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,,,,,,,,,,,取引ID,メッセージがやり取りされる取引識別番号,0..1
4,ヘッダ部,UN01012746,BBIE,,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,,,,,,,,,,,処理日時,メッセージがやり取りされる日時,0..1
5,ヘッダ部,UN01005481,ASBIE,,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,取引設定内容/取引プロセスグループ,取引設定内容の取引プロセスに関する情報,0..1
6,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,取引プロセス設定クラス,取引プロセスに関する情報のクラス, -
7,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,取引プロセスID,"取引プロセスの識別番号
共通EDIプロバイダがプロセスをセットする",0..1
8,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,取引プロセス名,取引プロセスの名称,0..1
9,ヘッダ部,UN01005474,ASBIE,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,,,,,,,,,取引プロセス/バージョングループ,取引プロセスのバージョンに関する情報,0..1
10,ヘッダ部,UN01005475,ABIE,,,,,CI_ Document_ Version. Details,,,,,,,,バージョンクラス,バージョンに関する情報のクラス, - 
11,ヘッダ部,UN01005476,BBIE,,,,,,CI_ Document_ Version. Identification. Identifier,,,,,,,バージョンID,取引プロセスのバージョン識別番号,0..1
12,ヘッダ部,UN01005478,BBIE,,,,,,CI_ Document_ Version. Issue. Date Time,,,,,,,バージョン発行日,取引プロセスのバージョン発行日,0..1
