num,GL,GL詳細,借方勘定科目セグメント,貸方勘定科目セグメント,事業セグメント,仕訳ID,ソースコード,ソース説明,ERPサブレジャーモジュール,システムマニュアル識別子,作成者ユーザーID,作成日,仕訳エントリタイプコード,仕訳エントリ行説明,記帳日,通貨コード,借方勘定科目番号,借方勘定科目名,借方財務諸表キャプション,借方金額,借方勘定科目セグメント番号,借方勘定科目セグメントコード,借方勘定科目セグメント名,貸方勘定科目番号,貸方勘定科目名,貸方財務諸表キャプション,貸方金額,貸方勘定科目セグメント番号,貸方勘定科目セグメントコード,貸方勘定科目セグメント名,事業セグメント順序番号,事業セグメントコード,組織タイプ名
1,0001-20090401-18-1-1-463,,,,,1-463,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
2,0001-20090401-18-1-1-463,0,,,,,,,,,,,account,旅費,2009-04-01,ISO4217:JPY,726,旅費交通費,TravelingExpense,18572,部門,010,札幌,111,現金,CashHand,18572,部門,000,共通部門,,,
3,0001-20090401-18-1-1-463,1,,,,,,,,,,,account,旅費,2009-04-01,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,928,部門,010,札幌,111,現金,CashHand,928,部門,000,共通部門,,,
5,0001-20090401-246-2-1-465,,,,,2-465,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
6,0001-20090401-246-2-1-465,0,,,,,,,,,,,account,旅費,2009-04-01,ISO4217:JPY,726,旅費交通費,TravelingExpense,9524,部門,030,名古屋,111,現金,CashHand,9524,部門,000,共通部門,,,
7,0001-20090401-246-2-1-465,1,,,,,,,,,,,account,旅費,2009-04-01,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,476,部門,030,名古屋,111,現金,CashHand,476,部門,000,共通部門,,,
9,0001-20090402-122-5-1-471,,,,,5-471,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
10,0001-20090402-122-5-1-471,0,,,,,,,,,,,account,証明書発行手数料,2009-04-02,ISO4217:JPY,727,通信費,CommunicationCost,1000,部門,040,大阪,111,現金,CashHand,1000,部門,000,共通部門,,,
11,0001-20090402-122-5-1-471,1,,,,,,,,,,,account,証明書発行手数料,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,50,部門,040,大阪,111,現金,CashHand,50,部門,000,共通部門,,,
13,0001-20090402-142-6-1-473,,,,,6-473,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
14,0001-20090402-142-6-1-473,0,,,,,,,,,,,account,高速代,2009-04-02,ISO4217:JPY,740,車両費,VehiclesExpense,2458,部門,040,大阪,111,現金,CashHand,2458,部門,000,共通部門,,,
15,0001-20090402-142-6-1-473,1,,,,,,,,,,,account,高速代,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,122,部門,040,大阪,111,現金,CashHand,122,部門,000,共通部門,,,
17,0001-20090402-142-6-1-473,3,,,,,,,,,,,account,駐車代,2009-04-02,ISO4217:JPY,740,車両費,VehiclesExpense,591,部門,040,大阪,111,現金,CashHand,591,部門,000,共通部門,,,
18,0001-20090402-142-6-1-473,4,,,,,,,,,,,account,駐車代,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,29,部門,040,大阪,111,現金,CashHand,29,部門,000,共通部門,,,
19,0001-20090402-142-6-1-473,5,,,,,,,,,,,account,ガソリン代,2009-04-02,ISO4217:JPY,740,車両費,VehiclesExpense,4620,部門,040,大阪,111,現金,CashHand,4620,部門,000,共通部門,,,
20,0001-20090402-142-6-1-473,6,,,,,,,,,,,account,ガソリン代,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,230,部門,040,大阪,111,現金,CashHand,230,部門,000,共通部門,,,
21,0001-20090402-142-6-1-473,7,,,,,,,,,,,account,洗車券代,2009-04-02,ISO4217:JPY,740,車両費,VehiclesExpense,5715,部門,040,大阪,111,現金,CashHand,5715,部門,000,共通部門,,,
22,0001-20090402-142-6-1-473,8,,,,,,,,,,,account,洗車券代,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,285,部門,040,大阪,111,現金,CashHand,285,部門,000,共通部門,,,
23,0001-20090402-19-3-1-467,,,,,3-467,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
24,0001-20090402-19-3-1-467,0,,,,,,,,,,,account,旅費,2009-04-02,ISO4217:JPY,726,旅費交通費,TravelingExpense,10477,部門,010,札幌,111,現金,CashHand,10477,部門,000,共通部門,,,
25,0001-20090402-19-3-1-467,1,,,,,,,,,,,account,旅費,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,523,部門,010,札幌,111,現金,CashHand,523,部門,000,共通部門,,,
27,0001-20090402-68-4-1-469,,,,,4-469,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
