url1行範囲,url1テキスト,url2行範囲,url2テキスト,差分行
,https://docs.peppol.eu/poac/jp/pint-jp/bis/,,https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,"--- 
"
,https://docs.peppol.eu/poac/jp/pint-jp/bis/,,https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,"+++ 
"
"-1,3",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+1,11",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,#NAME?
"-1,3",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+1,11",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,+
"-1,3",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+1,11",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,+
"-1,3",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+1,11",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,+
"-1,3",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+1,11",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,+
"-1,3",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+1,11",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,+
"-1,3",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+1,11",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,+
"-1,3",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+1,11",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,+
"-1,3",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+1,11",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/, Peppol International (PINT) model for Billing
"-1,3",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+1,11",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/, 
"-1,3",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+1,11",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/, Table of Contents
"-40,8",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+48,7",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/, 
"-40,8",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+48,7",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/, 4. Tax information
"-40,8",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+48,7",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/, 
"-40,8",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+48,7",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,-4.1. Tax in accounting currency
"-40,8",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+48,7",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,-4.2. Consumption Tax in Japan
"-40,8",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+48,7",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/,+4.1. Consumption Tax in Japan
"-40,8",https://docs.peppol.eu/poac/jp/pint-jp/bis/,"+48,7",https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/bis/, 
