url1行内容,url2行内容,差分行
-,-,-, ,"
"
+,+,+, ,"
"
@,@, ,-,1,",",3,5,0, ,+,1,",",3,5,3, ,@,@,"
"
 
-,	,	,	,1,.,.,1,	,u,b,l,:,I,n,v,o,i,c,e
-,I,B,T,-,0,2,4,	,1,.,.,1,	,S,p,e,c,i,f,i,c,a,t,i,o,n, ,i,d,e,n,t,i,f,i,e,r,	,1,.,.,1,	,c,b,c,:,C,u,s,t,o,m,i,z,a,t,i,o,n,I,D
-,I,B,T,-,0,2,3,	,1,.,.,1,	,B,u,s,i,n,e,s,s, ,p,r,o,c,e,s,s, ,t,y,p,e,	,1,.,.,1,	,c,b,c,:,P,r,o,f,i,l,e,I,D
-,I,B,T,-,0,0,1,	,1,.,.,1,	,I,n,v,o,i,c,e, ,n,u,m,b,e,r,	,1,.,.,1,	,c,b,c,:,I,D
-,I,B,T,-,0,0,2,	,1,.,.,1,	,I,n,v,o,i,c,e, ,i,s,s,u,e, ,d,a,t,e,	,1,.,.,1,	,c,b,c,:,I,s,s,u,e,D,a,t,e
-,I,B,T,-,1,6,8,	,0,.,.,1,	,I,n,v,o,i,c,e, ,i,s,s,u,e, ,t,i,m,e,	,0,.,.,1,	,c,b,c,:,I,s,s,u,e,T,i,m,e
-,I,B,T,-,0,0,9,	,0,.,.,1,	,P,a,y,m,e,n,t, ,d,u,e, ,d,a,t,e,	,0,.,.,1,	,c,b,c,:,D,u,e,D,a,t,e
-,I,B,T,-,0,0,3,	,1,.,.,1,	,I,n,v,o,i,c,e, ,t,y,p,e, ,c,o,d,e,	,1,.,.,1,	,c,b,c,:,I,n,v,o,i,c,e,T,y,p,e,C,o,d,e
-,I,B,T,-,0,2,2,	,0,.,.,1,	,I,n,v,o,i,c,e, ,n,o,t,e,	,0,.,.,1,	,c,b,c,:,N,o,t,e
-,I,B,T,-,0,0,7,	,0,.,.,1,	,T,A,X, ,p,o,i,n,t, ,d,a,t,e,	,0,.,.,1,	,c,b,c,:,T,a,x,P,o,i,n,t,D,a,t,e
-,I,B,T,-,0,0,5,	,1,.,.,1,	,I,n,v,o,i,c,e, ,c,u,r,r,e,n,c,y, ,c,o,d,e,	,1,.,.,1,	,c,b,c,:,D,o,c,u,m,e,n,t,C,u,r,r,e,n,c,y,C,o,d,e
-,I,B,T,-,0,0,6,	,0,.,.,1,	,T,a,x, ,a,c,c,o,u,n,t,i,n,g, ,c,u,r,r,e,n,c,y,	,0,.,.,1,	,c,b,c,:,T,a,x,C,u,r,r,e,n,c,y,C,o,d,e
-,I,B,T,-,0,1,9,	,0,.,.,1,	,B,u,y,e,r, ,a,c,c,o,u,n,t,i,n,g, ,r,e,f,e,r,e,n,c,e,	,0,.,.,1,	,c,b,c,:,A,c,c,o,u,n,t,i,n,g,C,o,s,t
-,I,B,T,-,0,1,0,	,0,.,.,1,	,B,u,y,e,r, ,r,e,f,e,r,e,n,c,e,	,0,.,.,1,	,c,b,c,:,B,u,y,e,r,R,e,f,e,r,e,n,c,e
-,I,B,G,-,1,4,	,0,.,.,1,	,I,N,V,O,I,C,I,N,G, ,P,E,R,I,O,D,	,0,.,.,1,	,c,a,c,:,I,n,v,o,i,c,e,P,e,r,i,o,d
-,I,B,T,-,0,7,3,	,0,.,.,1,	,I,n,v,o,i,c,i,n,g, ,p,e,r,i,o,d, ,s,t,a,r,t, ,d,a,t,e,	,0,.,.,1,	,•,c,b,c,:,S,t,a,r,t,D,a,t,e
-,I,B,T,-,0,7,4,	,0,.,.,1,	,I,n,v,o,i,c,i,n,g, ,p,e,r,i,o,d, ,e,n,d, ,d,a,t,e,	,0,.,.,1,	,•,c,b,c,:,E,n,d,D,a,t,e
-,I,B,T,-,0,0,8,	,0,.,.,1,	,T,A,X, ,p,o,i,n,t, ,d,a,t,e, ,c,o,d,e,	,0,.,.,1,	,•,c,b,c,:,D,e,s,c,r,i,p,t,i,o,n,C,o,d,e
-,	,	,	,0,.,.,1,	,c,a,c,:,O,r,d,e,r,R,e,f,e,r,e,n,c,e
-,I,B,T,-,0,1,3,	,0,.,.,1,	,P,u,r,c,h,a,s,e, ,o,r,d,e,r, ,r,e,f,e,r,e,n,c,e,	,1,.,.,1,	,•,c,b,c,:,I,D
-,I,B,T,-,0,1,4,	,0,.,.,1,	,S,a,l,e,s, ,o,r,d,e,r, ,r,e,f,e,r,e,n,c,e,	,0,.,.,1,	,•,c,b,c,:,S,a,l,e,s,O,r,d,e,r,I,D
-,I,B,G,-,0,3,	,0,.,.,n,	,P,R,E,C,E,D,I,N,G, ,I,N,V,O,I,C,E, ,R,E,F,E,R,E,N,C,E,	,0,.,.,n,	,c,a,c,:,B,i,l,l,i,n,g,R,e,f,e,r,e,n,c,e
-,	,	,	,1,.,.,1,	,•,c,a,c,:,I,n,v,o,i,c,e,D,o,c,u,m,e,n,t,R,e,f,e,r,e,n,c,e
-,I,B,T,-,0,2,5,	,1,.,.,1,	,P,r,e,c,e,d,i,n,g, ,I,n,v,o,i,c,e, ,r,e,f,e,r,e,n,c,e,	,1,.,.,1,	,•, ,•,c,b,c,:,I,D
-,I,B,T,-,0,2,6,	,0,.,.,1,	,P,r,e,c,e,d,i,n,g, ,I,n,v,o,i,c,e, ,i,s,s,u,e, ,d,a,t,e,	,0,.,.,1,	,•, ,•,c,b,c,:,I,s,s,u,e,D,a,t,e
-,	,	,	,0,.,.,1,	,c,a,c,:,D,e,s,p,a,t,c,h,D,o,c,u,m,e,n,t,R,e,f,e,r,e,n,c,e
-,I,B,T,-,0,1,6,	,0,.,.,1,	,D,e,s,p,a,t,c,h, ,a,d,v,i,c,e, ,r,e,f,e,r,e,n,c,e,	,1,.,.,1,	,•,c,b,c,:,I,D
-,	,	,	,0,.,.,1,	,c,a,c,:,R,e,c,e,i,p,t,D,o,c,u,m,e,n,t,R,e,f,e,r,e,n,c,e
-,I,B,T,-,0,1,5,	,0,.,.,1,	,R,e,c,e,i,v,i,n,g, ,a,d,v,i,c,e, ,r,e,f,e,r,e,n,c,e,	,1,.,.,1,	,•,c,b,c,:,I,D
-,	,	,	,0,.,.,1,	,c,a,c,:,O,r,i,g,i,n,a,t,o,r,D,o,c,u,m,e,n,t,R,e,f,e,r,e,n,c,e
-,I,B,T,-,0,1,7,	,0,.,.,1,	,T,e,n,d,e,r, ,o,r, ,l,o,t, ,r,e,f,e,r,e,n,c,e,	,1,.,.,1,	,•,c,b,c,:,I,D
-,	,	,	,0,.,.,1,	,c,a,c,:,C,o,n,t,r,a,c,t,D,o,c,u,m,e,n,t,R,e,f,e,r,e,n,c,e
-,I,B,T,-,0,1,2,	,0,.,.,1,	,C,o,n,t,r,a,c,t, ,r,e,f,e,r,e,n,c,e,	,1,.,.,1,	,•,c,b,c,:,I,D
-,	,	,	,0,.,.,1,	,c,a,c,:,A,d,d,i,t,i,o,n,a,l,D,o,c,u,m,e,n,t,R,e,f,e,r,e,n,c,e,[,c,b,c,:,D,o,c,u,m,e,n,t,T,y,p,e,C,o,d,e, ,=, ,1,3,0,]
-,I,B,T,-,0,1,8,	,0,.,.,1,	,I,n,v,o,i,c,e,d, ,o,b,j,e,c,t, ,i,d,e,n,t,i,f,i,e,r,	,1,.,.,1,	,•,c,b,c,:,I,D
