file1行範囲,file1テキスト,file2行範囲,file2テキスト,差分行
,data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,,data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"--- 
"
,data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,,data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+++ 
"
"-31,8",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+31,8",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibrp-050-jp"" flag=""fatal"" test=""(cac:Item/cac:ClassifiedTaxCategory[cac:TaxScheme/(normalize-space(upper-case(cbc:ID))='VAT')]/cbc:ID) and (cac:Item/cac:ClassifiedTaxCategory[cac:TaxScheme/(normalize-space(upper-case(cbc:ID))='VAT')]/cbc:Percent)"">[aligned-ibrp-050-jp]-Each Invoice line (ibg-25) MUST be categorized with an Invoiced item tax category code (ibt-151) and Invoiced item tax rate (ibt-152).</assert>"
"-31,8",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+31,8",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,     </rule>
"-31,8",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+31,8",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"     <rule context=""/ubl:Invoice | /cn:CreditNote"">"
"-31,8",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+31,8",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"-      <assert id=""aligned-ibrp-001-jp"" flag=""fatal"" test=""starts-with(normalize-space(cbc:CustomizationID/text()), 'urn:fdc:peppol:jp:billing:3.0')"">[aligned-ibrp-001-jp]-Specification identifier MUST start with the value 'urn:fdc:peppol:jp:billing:3.0'.</assert>"
"-31,8",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+31,8",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"-      <assert id=""aligned-ibrp-002-jp"" flag=""fatal"" test=""/*/cbc:ProfileID and matches(normalize-space(/*/cbc:ProfileID), 'urn:fdc:peppol.eu:2017:poacc:billing:01:1.0')"">[aligned-ibrp-002-jp]-Business process MUST be in the format 'urn:fdc:peppol.eu:2017:poacc:billing:01:1.0'.</assert>"
"-31,8",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+31,8",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+      <assert id=""aligned-ibrp-001-jp-ntr"" flag=""fatal"" test=""starts-with(normalize-space(cbc:CustomizationID/text()), 'urn:peppol:pint:nontaxinvoice-1@jp-1')"">[aligned-ibrp-001-jp-ntr]-Specification identifier MUST start with the value 'urn:peppol:pint:nontaxinvoice-1@jp-1'.</assert>"
"-31,8",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+31,8",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+      <assert id=""aligned-ibrp-002-jp"" flag=""fatal"" test=""/*/cbc:ProfileID and matches(normalize-space(/*/cbc:ProfileID), 'urn:peppol:bis:billing')"">[aligned-ibrp-002-jp]-Business process MUST be in the format 'urn:peppol:bis:billing'.</assert>"
"-31,8",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+31,8",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibrp-008"" flag=""fatal"" test=""(count(cac:PaymentTerms/cbc:Note) &lt;= 1)"">[aligned-ibrp-008]-Payment terms (ibt-020) MUST occur maximum once.</assert>"
