月,コード,科目,前月残高,借方,貸方,当月残高
2009-08,111,現金,1223811,2626159,2595726,1254244
2009-08,121,当座預金,1166782,29693803,28778079,2082506
2009-08,131,普通預金,5249337,67645276,62968094,9926519
2009-08,148,定期積金,2000000,500000,0,2500000
2009-08,150,受取手形,1888210,34210798,29812387,6286621
2009-08,152,売掛金,-53169780,62607504,67784238,-58346514
2009-08,183,短期貸付金,-160000,0,40000,-200000
2009-08,191,仮払消費税等,9977489,2532405,0,12509894
2009-08,248,保険積立金,500000,125000,0,625000
2009-08,301,支払手形,23487188,6591904,11730438,18348654
2009-08,312,買掛金,14799111,37779377,38277589,14300899
2009-08,321,短期借入金,2614000,653500,0,3267500
2009-08,322,未払金,-352018,7936710,7333580,251112
2009-08,326,預り金,-2047904,1403735,1910537,-2554706
2009-08,335,仮受消費税等,-12205330,0,2981225,-15186555
2009-08,511,売上高,-242865733,0,59626279,-302492012
2009-08,541,商品仕入高,140772253,36455109,0,177227362
2009-08,711,役員報酬,6880000,1720000,0,8600000
2009-08,712,給与手当,21737607,5270379,0,27007986
2009-08,721,雑給,1272427,529470,0,1801897
2009-08,723,法定福利費,3442539,710659,0,4153198
2009-08,724,福利厚生費,1432909,617857,0,2050766
2009-08,726,旅費交通費,4019024,889344,0,4908368
2009-08,727,通信費,4510077,997302,0,5507379
2009-08,728,業務委託費,8593997,1821906,0,10415903
2009-08,731,運賃,14359813,3529541,0,17889354
2009-08,732,広告宣伝費,615909,182382,0,798291
2009-08,733,交際接待費,1299132,384551,0,1683683
2009-08,734,会議費,124249,23805,0,148054
2009-08,736,水道光熱費,2385139,536492,0,2921631
2009-08,737,消耗品費,1149343,562218,281109,1430452
2009-08,738,租税公課,0,40000,0,40000
2009-08,739,新聞図書費,97936,24484,0,122420
2009-08,740,車両費,2194293,606335,0,2800628
2009-08,741,支払手数料,44850,11800,0,56650
2009-08,742,諸会費,464000,116000,0,580000
2009-08,744,リース料,559716,279858,0,839574
2009-08,746,支払報酬,532232,133058,0,665290
2009-08,747,地代家賃,13139048,3284762,0,16423810
2009-08,752,保険料,1275280,318820,0,1594100
2009-08,753,修繕維持費,202144,17000,0,219144
2009-08,754,事務用消耗品費,521380,132366,0,653746
2009-08,791,雑費,1869437,466353,0,2335790
2009-08,821,支払利息,539175,151259,0,690434
2009-08,,,,314119281,314119281,
