月,コード,科目,前月残高,借方,貸方,当月残高
2009-05,111,現金,-576361,3293382,2599457,117564
2009-05,121,当座預金,924593,32260069,32030185,1154477
2009-05,131,普通預金,7539155,83113205,83222991,7429369
2009-05,148,定期積金,500000,500000,0,1000000
2009-05,150,受取手形,14999059,33785761,32345738,16439082
2009-05,152,売掛金,-34639612,64778938,80721896,-50582570
2009-05,183,短期貸付金,-40000,0,40000,-80000
2009-05,191,仮払消費税等,2431988,2525583,0,4957571
2009-05,248,保険積立金,125000,125000,0,250000
2009-05,301,支払手形,-1923008,13344010,6591904,4829098
2009-05,312,買掛金,16234888,36754279,37677571,15311596
2009-05,321,短期借入金,653500,653500,0,1307000
2009-05,322,未払金,55447,7529245,7263732,320960
2009-05,326,預り金,-586897,1494720,1957781,-1049958
2009-05,327,未払事業税等,0,1862000,0,1862000
2009-05,328,未払法人税等,0,2864378,0,2864378
2009-05,335,仮受消費税等,-3025189,0,3084626,-6109815
2009-05,336,未払消費税等,0,4947100,0,4947100
2009-05,341,長期借入金,0,0,0,0
2009-05,511,売上高,-60337616,0,61189848,-121527464
2009-05,521,売上値引戻り高,-167936,0,504464,-672400
2009-05,541,商品仕入高,33801800,35662677,0,69464477
2009-05,551,仕入値引戻し高,192740,220944,0,413684
2009-05,711,役員報酬,1720000,1720000,0,3440000
2009-05,712,給与手当,5702352,5515630,0,11217982
2009-05,721,雑給,396465,231672,0,628137
2009-05,723,法定福利費,743926,764485,0,1508411
2009-05,724,福利厚生費,267798,363083,0,630881
2009-05,726,旅費交通費,973043,1119170,0,2092213
2009-05,727,通信費,1251864,1115105,0,2366969
2009-05,728,業務委託費,2158096,1945239,0,4103335
2009-05,731,運賃,3532405,3514874,0,7047279
2009-05,732,広告宣伝費,182382,168763,0,351145
2009-05,733,交際接待費,378881,421306,0,800187
2009-05,734,会議費,23805,52834,0,76639
2009-05,736,水道光熱費,615042,645774,0,1260816
2009-05,737,消耗品費,352077,540384,270192,622269
2009-05,738,租税公課,56000,66000,0,122000
2009-05,739,新聞図書費,24484,24484,0,48968
2009-05,740,車両費,590077,581158,0,1171235
2009-05,741,支払手数料,10050,11850,0,21900
2009-05,742,諸会費,116000,116000,0,232000
2009-05,744,リース料,279858,279858,0,559716
2009-05,746,支払報酬,133058,133058,0,266116
2009-05,747,地代家賃,3284762,3284762,0,6569524
2009-05,752,保険料,318820,318820,0,637640
2009-05,753,修繕維持費,34143,116858,0,151001
2009-05,754,事務用消耗品費,137682,143547,0,281229
2009-05,791,雑費,464322,472536,0,936858
2009-05,821,支払利息,91057,118344,0,209401
2009-05,,,,349500385,349500385,
