月,コード,科目,前月残高,借方,貸方,当月残高
2009-06,111,現金,117564,2308543,1841687,584420
2009-06,121,当座預金,1154477,41444696,29489342,13109831
2009-06,131,普通預金,7429369,67949891,68424156,6955104
2009-06,148,定期積金,1000000,500000,0,1500000
2009-06,150,受取手形,16439082,31318928,41592996,6165014
2009-06,152,売掛金,-50582570,61294567,69584625,-58872628
2009-06,183,短期貸付金,-80000,0,40000,-120000
2009-06,191,仮払消費税等,4957571,2439428,0,7396999
2009-06,248,保険積立金,250000,125000,0,375000
2009-06,301,支払手形,4829098,14803167,11291881,8340384
2009-06,312,買掛金,15311596,37371544,36869556,15813584
2009-06,321,短期借入金,1307000,653500,0,1960500
2009-06,322,未払金,320960,7263732,7396290,188402
2009-06,326,預り金,-1049958,1455142,2613471,-2208287
2009-06,335,仮受消費税等,-6109815,0,2918708,-9028523
2009-06,511,売上高,-121527464,0,58103775,-179631239
2009-06,521,売上値引戻り高,-672400,0,272084,-944484
2009-06,541,商品仕入高,69464477,34912331,0,104376808
2009-06,551,仕入値引戻し高,413684,201786,0,615470
2009-06,711,役員報酬,3440000,1720000,0,5160000
2009-06,712,給与手当,11217982,5290385,0,16508367
2009-06,713,賞与,0,4042000,0,4042000
2009-06,721,雑給,628137,279865,0,908002
2009-06,723,法定福利費,1508411,743927,0,2252338
2009-06,724,福利厚生費,630881,537383,0,1168264
2009-06,726,旅費交通費,2092213,926014,0,3018227
2009-06,727,通信費,2366969,1018755,0,3385724
2009-06,728,業務委託費,4103335,2165239,0,6268574
2009-06,731,運賃,7047279,3362264,0,10409543
2009-06,732,広告宣伝費,351145,132382,0,483527
2009-06,733,交際接待費,800187,248326,0,1048513
2009-06,734,会議費,76639,23805,0,100444
2009-06,736,水道光熱費,1260816,546903,0,1807719
2009-06,737,消耗品費,622269,517144,258572,880841
2009-06,738,租税公課,122000,13000,0,135000
2009-06,739,新聞図書費,48968,24484,0,73452
2009-06,740,車両費,1171235,416354,0,1587589
2009-06,741,支払手数料,21900,11400,0,33300
2009-06,742,諸会費,232000,116000,0,348000
2009-06,746,支払報酬,266116,133058,0,399174
2009-06,747,地代家賃,6569524,3284762,0,9854286
2009-06,752,保険料,637640,318820,0,956460
2009-06,753,修繕維持費,151001,17000,0,168001
2009-06,754,事務用消耗品費,281229,119762,0,400991
2009-06,791,雑費,936858,464881,0,1401739
2009-06,821,支払利息,209401,180975,0,390376
2009-06,,,,330697143,330697143,
