月,コード,科目,前月残高,借方,貸方,当月残高
2009-04,111,現金,0,2000000,2576361,-576361
2009-04,121,当座預金,0,33632236,32707643,924593
2009-04,131,普通預金,0,86048170,78509015,7539155
2009-04,148,定期積金,0,500000,0,500000
2009-04,150,受取手形,0,39689677,24690618,14999059
2009-04,152,売掛金,0,63530741,98170353,-34639612
2009-04,183,短期貸付金,0,0,40000,-40000
2009-04,191,仮払消費税等,0,2431988,0,2431988
2009-04,248,保険積立金,0,125000,0,125000
2009-04,301,支払手形,0,24104558,26027566,-1923008
2009-04,312,買掛金,0,51928919,35694031,16234888
2009-04,321,短期借入金,0,653500,0,653500
2009-04,322,未払金,0,7584692,7529245,55447
2009-04,326,預り金,0,1426819,2013716,-586897
2009-04,335,仮受消費税等,0,0,3025189,-3025189
2009-04,511,売上高,0,0,60337616,-60337616
2009-04,521,売上値引戻り高,0,0,167936,-167936
2009-04,541,商品仕入高,0,33801800,0,33801800
2009-04,551,仕入値引戻し高,0,192740,0,192740
2009-04,711,役員報酬,0,1720000,0,1720000
2009-04,712,給与手当,0,5702352,0,5702352
2009-04,721,雑給,0,396465,0,396465
2009-04,723,法定福利費,0,743926,0,743926
2009-04,724,福利厚生費,0,267798,0,267798
2009-04,726,旅費交通費,0,973043,0,973043
2009-04,727,通信費,0,1251864,0,1251864
2009-04,728,業務委託費,0,2158096,0,2158096
2009-04,731,運賃,0,3532405,0,3532405
2009-04,732,広告宣伝費,0,182382,0,182382
2009-04,733,交際接待費,0,378881,0,378881
2009-04,734,会議費,0,23805,0,23805
2009-04,736,水道光熱費,0,615042,0,615042
2009-04,737,消耗品費,0,704154,352077,352077
2009-04,738,租税公課,0,56000,0,56000
2009-04,739,新聞図書費,0,24484,0,24484
2009-04,740,車両費,0,590077,0,590077
2009-04,741,支払手数料,0,10050,0,10050
2009-04,742,諸会費,0,116000,0,116000
2009-04,744,リース料,0,279858,0,279858
2009-04,746,支払報酬,0,133058,0,133058
2009-04,747,地代家賃,0,3284762,0,3284762
2009-04,752,保険料,0,318820,0,318820
2009-04,753,修繕維持費,0,34143,0,34143
2009-04,754,事務用消耗品費,0,137682,0,137682
2009-04,791,雑費,0,464322,0,464322
2009-04,821,支払利息,0,91057,0,91057
2009-04,,,,371841366,371841366,
