月,コード,科目,前月残高,借方,貸方,当月残高
2009-11,111,現金,904310,2646009,2675887,874432
2009-11,121,当座預金,7694717,25336179,32416613,614283
2009-11,131,普通預金,5042457,62857270,62599066,5300661
2009-11,148,定期積金,3500000,500000,0,4000000
2009-11,150,受取手形,7339777,32645380,25396533,14588624
2009-11,152,売掛金,-55243155,74374925,64491260,-45359490
2009-11,183,短期貸付金,-280000,600000,40000,280000
2009-11,191,仮払消費税等,17558237,2962047,0,20520284
2009-11,248,保険積立金,875000,125000,0,1000000
2009-11,301,支払手形,17878027,11730438,11951863,17656602
2009-11,312,買掛金,13903182,38562088,46734938,5730332
2009-11,321,短期借入金,4574500,653500,0,5228000
2009-11,322,未払金,-248477,7833169,7823245,-238553
2009-11,326,預り金,-3550666,1451397,1954908,-4054177
2009-11,335,仮受消費税等,-21260874,0,3541571,-24802445
2009-11,511,売上高,-423982077,0,70833354,-494815431
2009-11,541,商品仕入高,249783095,44509719,0,294292814
2009-11,711,役員報酬,12040000,1720000,0,13760000
2009-11,712,給与手当,37054004,5195344,0,42249348
2009-11,721,雑給,2669307,697190,0,3366497
2009-11,723,法定福利費,5591695,763311,0,6355006
2009-11,724,福利厚生費,2905109,218617,0,3123726
2009-11,726,旅費交通費,6889196,964727,0,7853923
2009-11,727,通信費,7421566,946392,0,8367958
2009-11,728,業務委託費,14362914,1753524,0,16116438
2009-11,731,運賃,25117664,4495888,0,29613552
2009-11,732,広告宣伝費,1163055,182382,0,1345437
2009-11,733,交際接待費,2131845,334246,0,2466091
2009-11,734,会議費,195664,23805,0,219469
2009-11,736,水道光熱費,4066009,609480,0,4675489
2009-11,737,消耗品費,1976892,467964,233982,2210874
2009-11,739,新聞図書費,171388,24484,0,195872
2009-11,740,車両費,4115734,676613,0,4792347
2009-11,741,支払手数料,79800,12350,0,92150
2009-11,742,諸会費,812000,116000,0,928000
2009-11,744,リース料,559716,279858,0,839574
2009-11,746,支払報酬,931406,133058,0,1064464
2009-11,747,地代家賃,22993334,3284762,0,26278096
2009-11,752,保険料,2231740,318820,0,2550560
2009-11,753,修繕維持費,270287,17000,0,287287
2009-11,754,事務用消耗品費,869484,108042,0,977526
2009-11,791,雑費,3261622,469213,0,3730835
2009-11,821,支払利息,878014,93029,0,971043
2009-11,,,,330693220,330693220,
