月,コード,科目,前月残高,借方,貸方,当月残高
2009-12,111,現金,874432,3256822,3099910,1031344
2009-12,121,当座預金,614283,30796234,34774135,-3363618
2009-12,131,普通預金,5300661,74693617,73949322,6044956
2009-12,148,定期積金,4000000,500000,0,4500000
2009-12,150,受取手形,14588624,36485905,30842601,20231928
2009-12,152,売掛金,-45359490,111406751,76112044,-10064783
2009-12,183,短期貸付金,280000,0,90000,190000
2009-12,191,仮払消費税等,20520284,4135221,0,24655505
2009-12,248,保険積立金,1000000,125000,0,1125000
2009-12,301,支払手形,17656602,11432405,13738257,15350750
2009-12,312,買掛金,5730332,44783137,66146929,-15633460
2009-12,321,短期借入金,5228000,653500,0,5881500
2009-12,322,未払金,-238553,7823245,12442678,-4857986
2009-12,326,預り金,-4054177,1457897,3261022,-5857302
2009-12,335,仮受消費税等,-24802445,0,5304959,-30107404
2009-12,511,売上高,-494815431,0,106101792,-600917223
2009-12,541,商品仕入高,294292814,62997487,0,357290301
2009-12,711,役員報酬,13760000,1764172,0,15524172
2009-12,712,給与手当,42249348,5041429,0,47290777
2009-12,713,賞与,0,7040000,0,7040000
2009-12,721,雑給,3366497,423840,0,3790337
2009-12,723,法定福利費,6355006,763311,0,7118317
2009-12,724,福利厚生費,3123726,766284,0,3890010
2009-12,726,旅費交通費,7853923,1089061,0,8942984
2009-12,727,通信費,8367958,1096435,0,9464393
2009-12,728,業務委託費,16116438,3005715,0,19122153
2009-12,731,運賃,29613552,7172956,0,36786508
2009-12,732,広告宣伝費,1345437,182382,0,1527819
2009-12,733,交際接待費,2466091,722007,0,3188098
2009-12,734,会議費,219469,23805,0,243274
2009-12,736,水道光熱費,4675489,726868,0,5402357
2009-12,737,消耗品費,2210874,457802,228901,2439775
2009-12,738,租税公課,0,52000,0,52000
2009-12,739,新聞図書費,195872,24484,0,220356
2009-12,740,車両費,4792347,629659,0,5422006
2009-12,741,支払手数料,92150,11450,0,103600
2009-12,742,諸会費,928000,116000,0,1044000
2009-12,746,支払報酬,1064464,133058,0,1197522
2009-12,747,地代家賃,26278096,3284762,0,29562858
2009-12,752,保険料,2550560,318820,0,2869380
2009-12,754,事務用消耗品費,977526,130064,0,1107590
2009-12,791,雑費,3730835,489923,0,4220758
2009-12,821,支払利息,971043,79042,0,1050085
2009-12,,,,426092550,426092550,
