月,コード,科目,前月残高,借方,貸方,当月残高
2010-02,111,現金,1601215,2078883,1866939,1813159
2010-02,121,当座預金,5569960,26261958,14604726,17227192
2010-02,131,普通預金,7263214,72573901,71082482,8754633
2010-02,148,定期積金,5240000,740000,0,5980000
2010-02,150,受取手形,33388499,40564498,26261958,47691039
2010-02,152,売掛金,-18627762,60643304,92790604,-50775062
2010-02,183,短期貸付金,100000,0,90000,10000
2010-02,191,仮払消費税等,28106243,2425984,0,30532227
2010-02,248,保険積立金,1250000,125000,0,1375000
2010-02,301,支払手形,-806973,11951863,32528767,-21383877
2010-02,312,買掛金,-10592592,58857401,36698676,11566133
2010-02,321,短期借入金,6535000,653500,0,7188500
2010-02,322,未払金,-2756901,10341593,7030303,554389
2010-02,326,預り金,-5292646,1424959,1929498,-5797185
2010-02,335,仮受消費税等,-34381110,0,2887686,-37268796
2010-02,511,売上高,-686393839,0,57755618,-744149457
2010-02,541,商品仕入高,409001928,34951332,0,443953260
2010-02,711,役員報酬,17244172,1720000,0,18964172
2010-02,712,給与手当,52104630,5186684,0,57291314
2010-02,721,雑給,4103762,210240,0,4314002
2010-02,723,法定福利費,8709821,754033,0,9463854
2010-02,724,福利厚生費,4079056,576059,0,4655115
2010-02,726,旅費交通費,9865093,855508,0,10720601
2010-02,727,通信費,10525897,993551,0,11519448
2010-02,728,業務委託費,21512535,1474382,0,22986917
2010-02,731,運賃,42935339,3481421,0,46416760
2010-02,732,広告宣伝費,1710201,182382,0,1892583
2010-02,733,交際接待費,3566110,340885,0,3906995
2010-02,734,会議費,267079,23805,0,290884
2010-02,736,水道光熱費,5962849,481699,0,6444548
2010-02,737,消耗品費,2715743,608814,304407,3020150
2010-02,739,新聞図書費,244840,24484,0,269324
2010-02,740,車両費,6031549,579184,0,6610733
2010-02,741,支払手数料,115050,11450,0,126500
2010-02,742,諸会費,1160000,116000,0,1276000
2010-02,744,リース料,559716,279858,0,839574
2010-02,746,支払報酬,1330580,133058,0,1463638
2010-02,747,地代家賃,32847620,3284762,0,36132382
2010-02,752,保険料,3188200,318820,0,3507020
2010-02,753,修繕維持費,0,17000,0,17000
2010-02,754,事務用消耗品費,1222845,106461,0,1329306
2010-02,791,雑費,4681296,444273,0,5125569
2010-02,821,支払利息,1136418,32675,0,1169093
2010-02,,,,345831664,345831664,
