月,コード,科目,前月残高,借方,貸方,当月残高
2009-10,111,現金,1165404,2151013,2412107,904310
2009-10,121,当座預金,-9098528,47860182,31066937,7694717
2009-10,131,普通預金,5979851,58871620,59809014,5042457
2009-10,148,定期積金,3000000,500000,0,3500000
2009-10,150,受取手形,20357266,34964923,47982412,7339777
2009-10,152,売掛金,-55881992,64642402,64003565,-55243155
2009-10,183,短期貸付金,-240000,0,40000,-280000
2009-10,191,仮払消費税等,14955109,2603128,0,17558237
2009-10,248,保険積立金,750000,125000,0,875000
2009-10,301,支払手形,18208130,10880762,11210865,17878027
2009-10,312,買掛金,15415763,37483187,38995768,13903182
2009-10,321,短期借入金,3921000,653500,0,4574500
2009-10,322,未払金,644073,6940619,7833169,-248477
2009-10,326,預り金,-3001490,1395878,1945054,-3550666
2009-10,335,仮受消費税等,-18182754,0,3078120,-21260874
2009-10,511,売上高,-362417795,0,61564282,-423982077
2009-10,541,商品仕入高,212644210,37138885,0,249783095
2009-10,711,役員報酬,10320000,1720000,0,12040000
2009-10,712,給与手当,31823531,5230473,0,37054004
2009-10,721,雑給,2157927,511380,0,2669307
2009-10,723,法定福利費,4869714,721981,0,5591695
2009-10,724,福利厚生費,2267141,637968,0,2905109
2009-10,726,旅費交通費,5871765,1017431,0,6889196
2009-10,727,通信費,6474560,947006,0,7421566
2009-10,728,業務委託費,12241961,2120953,0,14362914
2009-10,731,運賃,21367442,3750222,0,25117664
2009-10,732,広告宣伝費,980673,182382,0,1163055
2009-10,733,交際接待費,1912453,219392,0,2131845
2009-10,734,会議費,171859,23805,0,195664
2009-10,736,水道光熱費,3495166,570843,0,4066009
2009-10,737,消耗品費,1731430,490924,245462,1976892
2009-10,738,租税公課,42000,10000,0,52000
2009-10,739,新聞図書費,146904,24484,0,171388
2009-10,740,車両費,3497994,617740,0,4115734
2009-10,741,支払手数料,68350,11450,0,79800
2009-10,742,諸会費,696000,116000,0,812000
2009-10,744,リース料,0,559716,0,559716
2009-10,746,支払報酬,798348,133058,0,931406
2009-10,747,地代家賃,19708572,3284762,0,22993334
2009-10,752,保険料,1912920,318820,0,2231740
2009-10,753,修繕維持費,236144,34143,0,270287
2009-10,754,事務用消耗品費,765523,103961,0,869484
2009-10,791,雑費,2799765,461857,0,3261622
2009-10,821,支払利息,723109,154905,0,878014
2009-10,,,,330186755,330186755,
