月,コード,科目,前月残高,借方,貸方,当月残高
2009-09,111,現金,1254244,2181275,2270115,1165404
2009-09,121,当座預金,2082506,16797022,27978056,-9098528
2009-09,131,普通預金,9926519,54808585,58755253,5979851
2009-09,148,定期積金,2500000,500000,0,3000000
2009-09,150,受取手形,6286621,30867667,16797022,20357266
2009-09,152,売掛金,-58346514,62921982,60457460,-55881992
2009-09,183,短期貸付金,-200000,0,40000,-240000
2009-09,191,仮払消費税等,12509894,2445215,0,14955109
2009-09,248,保険積立金,625000,125000,0,750000
2009-09,301,支払手形,18348654,11291881,11432405,18208130
2009-09,312,買掛金,14300899,38302285,37187421,15415763
2009-09,321,短期借入金,3267500,653500,0,3921000
2009-09,322,未払金,251112,7333580,6940619,644073
2009-09,326,預り金,-2554706,1416832,1863616,-3001490
2009-09,335,仮受消費税等,-15186555,0,2996199,-18182754
2009-09,511,売上高,-302492012,0,59925783,-362417795
2009-09,541,商品仕入高,177227362,35416848,0,212644210
2009-09,711,役員報酬,8600000,1720000,0,10320000
2009-09,712,給与手当,27007986,4815545,0,31823531
2009-09,721,雑給,1801897,356030,0,2157927
2009-09,723,法定福利費,4153198,716516,0,4869714
2009-09,724,福利厚生費,2050766,216375,0,2267141
2009-09,726,旅費交通費,4908368,963397,0,5871765
2009-09,727,通信費,5507379,967181,0,6474560
2009-09,728,業務委託費,10415903,1826058,0,12241961
2009-09,731,運賃,17889354,3478088,0,21367442
2009-09,732,広告宣伝費,798291,182382,0,980673
2009-09,733,交際接待費,1683683,228770,0,1912453
2009-09,734,会議費,148054,23805,0,171859
2009-09,736,水道光熱費,2921631,573535,0,3495166
2009-09,737,消耗品費,1430452,601956,300978,1731430
2009-09,738,租税公課,40000,2000,0,42000
2009-09,739,新聞図書費,122420,24484,0,146904
2009-09,740,車両費,2800628,697366,0,3497994
2009-09,741,支払手数料,56650,11700,0,68350
2009-09,742,諸会費,580000,116000,0,696000
2009-09,746,支払報酬,665290,133058,0,798348
2009-09,747,地代家賃,16423810,3284762,0,19708572
2009-09,752,保険料,1594100,318820,0,1912920
2009-09,753,修繕維持費,219144,17000,0,236144
2009-09,754,事務用消耗品費,653746,111777,0,765523
2009-09,791,雑費,2335790,463975,0,2799765
2009-09,821,支払利息,690434,32675,0,723109
2009-09,,,,286944927,286944927,
