月,コード,科目,前月残高,借方,貸方,当月残高
2010-03,111,現金,1813159,1376159,2428302,761016
2010-03,121,当座預金,17227192,59169923,66960550,9436565
2010-03,131,普通預金,8754633,66826960,72642168,2939425
2010-03,143,定期預金,0,18000000,0,18000000
2010-03,148,定期積金,5980000,740000,0,6720000
2010-03,150,受取手形,47691039,31338107,45169923,33859223
2010-03,152,売掛金,-50775062,73968519,70676484,-47483027
2010-03,171,商品,0,63025546,63013226,12320
2010-03,183,短期貸付金,10000,0,90000,-80000
2010-03,191,仮払消費税等,30532227,3066516,0,33598743
2010-03,213,構築物,0,0,164000,-164000
2010-03,216,工具器具備品,0,0,955962,-955962
2010-03,248,保険積立金,1375000,125000,0,1500000
2010-03,301,支払手形,-21383877,13738257,8791534,-16437154
2010-03,312,買掛金,11566133,42749967,47278961,7037139
2010-03,321,短期借入金,7188500,653500,0,7842000
2010-03,322,未払金,554389,7030303,9047727,-1463035
2010-03,326,預り金,-5797185,1880914,1933319,-5849590
2010-03,327,未払事業税等,0,0,0,0
2010-03,335,仮受消費税等,-37268796,0,3578237,-40847033
2010-03,336,未払消費税等,0,0,0,0
2010-03,341,長期借入金,0,7000000,0,7000000
2010-03,511,売上高,-744149457,0,70446280,-814595737
2010-03,521,売上値引戻り高,0,0,0,0
2010-03,531,期首商品棚卸高,0,63013226,0,63013226
2010-03,541,商品仕入高,443953260,44986992,0,488940252
2010-03,551,仕入値引戻し高,0,40800,0,40800
2010-03,561,期末商品棚卸高,0,0,63025546,-63025546
2010-03,711,役員報酬,18964172,1720000,0,20684172
2010-03,712,給与手当,57291314,5176103,0,62467417
2010-03,713,賞与,0,0,0,0
2010-03,721,雑給,4314002,268960,0,4582962
2010-03,723,法定福利費,9463854,1820130,0,11283984
2010-03,724,福利厚生費,4655115,397310,0,5052425
2010-03,726,旅費交通費,10720601,1266031,0,11986632
2010-03,727,通信費,11519448,1117367,0,12636815
2010-03,728,業務委託費,22986917,2879048,0,25865965
2010-03,731,運賃,46416760,4131536,0,50548296
2010-03,732,広告宣伝費,1892583,182382,0,2074965
2010-03,733,交際接待費,3906995,257192,0,4164187
2010-03,734,会議費,290884,23805,0,314689
2010-03,736,水道光熱費,6444548,693596,0,7138144
2010-03,737,消耗品費,3020150,695686,347843,3367993
2010-03,738,租税公課,0,24000,0,24000
2010-03,739,新聞図書費,269324,24484,0,293808
2010-03,740,車両費,6610733,675070,0,7285803
2010-03,741,支払手数料,126500,11450,0,137950
2010-03,742,諸会費,1276000,116000,0,1392000
2010-03,744,リース料,839574,279858,0,1119432
2010-03,746,支払報酬,1463638,133058,0,1596696
2010-03,747,地代家賃,36132382,3284762,0,39417144
2010-03,752,保険料,3507020,318820,0,3825840
2010-03,753,修繕維持費,17000,17000,0,34000
2010-03,754,事務用消耗品費,1329306,146856,0,1476162
2010-03,763,減価償却費,0,1175960,0,1175960
2010-03,791,雑費,5125569,460234,0,5585803
2010-03,821,支払利息,1169093,522675,0,1691768
2010-03,,,,526550062,526550062,
