月,コード,科目,前月残高,借方,貸方,当月残高
2010-01,111,現金,1031344,2706974,2137103,1601215
2010-01,121,当座預金,-3363618,35333654,26400076,5569960
2010-01,131,普通預金,6044956,81601861,80383603,7263214
2010-01,148,定期積金,4500000,740000,0,5240000
2010-01,150,受取手形,20231928,48543883,35387312,33388499
2010-01,152,売掛金,-10064783,89750322,98313301,-18627762
2010-01,183,短期貸付金,190000,0,90000,100000
2010-01,191,仮払消費税等,24655505,3450738,0,28106243
2010-01,248,保険積立金,1125000,125000,0,1250000
2010-01,301,支払手形,15350750,11210865,27368588,-806973
2010-01,312,買掛金,-15633460,59337763,54296895,-10592592
2010-01,321,短期借入金,5881500,653500,0,6535000
2010-01,322,未払金,-4857986,12442678,10341593,-2756901
2010-01,326,預り金,-5857302,2466437,1901781,-5292646
2010-01,335,仮受消費税等,-30107404,0,4273706,-34381110
2010-01,511,売上高,-600917223,0,85476616,-686393839
2010-01,541,商品仕入高,357290301,51711627,0,409001928
2010-01,711,役員報酬,15524172,1720000,0,17244172
2010-01,712,給与手当,47290777,4813853,0,52104630
2010-01,721,雑給,3790337,313425,0,4103762
2010-01,723,法定福利費,7118317,1591504,0,8709821
2010-01,724,福利厚生費,3890010,189046,0,4079056
2010-01,726,旅費交通費,8942984,922109,0,9865093
2010-01,727,通信費,9464393,1061504,0,10525897
2010-01,728,業務委託費,19122153,2390382,0,21512535
2010-01,731,運賃,36786508,6148831,0,42935339
2010-01,732,広告宣伝費,1527819,182382,0,1710201
2010-01,733,交際接待費,3188098,378012,0,3566110
2010-01,734,会議費,243274,23805,0,267079
2010-01,736,水道光熱費,5402357,560492,0,5962849
2010-01,737,消耗品費,2439775,551936,275968,2715743
2010-01,738,租税公課,52000,4000,0,56000
2010-01,739,新聞図書費,220356,24484,0,244840
2010-01,740,車両費,5422006,609543,0,6031549
2010-01,741,支払手数料,103600,11450,0,115050
2010-01,742,諸会費,1044000,116000,0,1160000
2010-01,744,リース料,0,559716,0,559716
2010-01,746,支払報酬,1197522,133058,0,1330580
2010-01,747,地代家賃,29562858,3284762,0,32847620
2010-01,752,保険料,2869380,318820,0,3188200
2010-01,754,事務用消耗品費,1107590,115255,0,1222845
2010-01,791,雑費,4220758,460538,0,4681296
2010-01,821,支払利息,1050085,86333,0,1136418
2010-01,,,,426646542,426646542,
