ID,Card,Level,Term,Description,項目名,説明,Semantic Datatype,UBL Sort,UBL Xpath,ID,Card,Level,,Semantic Datatype,説明,共通EDI,消費税必須,突合キー,自動振り分け,CII Sort,CII XPath,,
,,,,,,,,,,,0..1,1,取引識別子,Identifier,メッセージがやり取りされる取引番号,〇,,,,,,,
,,,,,,,,,,,0..1,1,処理日時,Date,メッセージがやり取りされる日時,〇,,,,,,,
,,,,,,,,,,,0..1,1,取引シナリオ識別子,Identifier,取引シナリオの識別子(ID),〇,,,,,,,
,,,,,,,,,,,0..1,1,取引シナリオ名,Text,取引シナリオの名称,〇,,,,,,,
,,,,,,,,,,,0..1,1,アプリケーション識別子,Identifier,業務アプリケーションの識別子,〇,,,,,,,
,,,,,,,,,,,0..1,1,アプリケーション名,Text,業務アプリケーションの名称,〇,,,,,,,
,,,,,,,,,,,0..1,1,業務領域識別子,Identifier,SIPSが付与したメッセージ業務領域識別子(ID),〇,,,,,,,
,,,,,,,,,,,0..1,1,業務領域名,Text,SIPSが付与したメッセージ業務領域名称,〇,,,,,,,
,,,,,,,,,,,0..1,1,バージョン識別子,Identifier,業務領域のバージョン識別子,〇,,,,,,,
,,,,,,,,,,,0..1,1,バージョン発行日,Date,業務領域のバージョン発行日,〇,,,,,,,
ibt-001,1..1,1,Invoice number,A unique identification of the Invoice.,請求書番号,請求書の一意識別番号。,Identifier,1030,/ubl:Invoice/cbc:ID,BT-1,1..1,1,請求書番号,Identifier,発注者が発番した請求書を識別する番号または文字列,◎,,,,1070,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:ID,,
,,,,,,,,,,,0..1,1,請求書名,Text,発注者が付与した請求書の文書名称,〇,,,,,,,
ibt-002,1..1,1,Invoice issue date,The date when the Invoice was issued.,請求書発行日,請求書の発行日付。,Date,1040,/ubl:Invoice/cbc:IssueDate,BT-2,1..1,1,請求書発効日,Date,請求書の発行日付，または請求書の書面上の発行日付,◎,,,,1100,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString[@format='102'],,
ibt-003,1..1,1,Invoice type code,A code specifying the functional type of the Invoice.,請求書タイプコード,この文書のタイプを識別するコード。請求書の機能を特定するためのコード。,Code,1070,/ubl:Invoice/cbc:InvoiceTypeCode,BT-3,1..1,1,請求書タイプコード,Code,この文書のタイプを識別するコード,◎,,,,1080,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:TypeCode,,
,,,,,,,,,,,1..1,1,請求書目的コード,Code,発注者が請求書の目的（新規、変更、取消、打切り）を管理するために付番した識別コード,◎,,,,,,,
,,,,,,,,,,,1..1,1,請求書類型コード,Code,この文書の類型（適格請求書対応、適格請求書非対応など）を識別するコード,〇,,□,,,,,
ibt-005,1..1,1,Invoice currency code,"The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.",請求書通貨コード,請求書に記載された通貨を表すコード。会計通貨での請求書消費税合計金額を除き、請求書に記載されている全て金額の表示の通貨コード。,Code,1100,/ubl:Invoice/cbc:DocumentCurrencyCode,BT-5,0..1,1,為替交換元通貨コード,Code,為替における交換元通貨を表すコード,〇,,,,3120,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceCurrencyCode,,
ibt-006,0..1,1,TAX accounting currency,The currency used for VAT accounting and reporting purposes as accepted or required in the country of the Seller.,税会計報告用通貨コード,会計報告や税務報告に使用する通貨を表すコード。売り手の国で認められたもしくは要求された会計報告や税務報告に使用する通貨を表すコード。,Code,1110,/ubl:Invoice/cbc:TaxCurrencyCode,BT-6,0..1,1,為替交換先通貨コード,Code,為替における交換先通貨を表すコード,〇,,,,3110,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:TaxCurrencyCode,,
,,,,,,,,,,,0..1,1,為替レート,?,為替交換のレート,〇,,,,,,,
,,,,,,,,,,,0..1,1,為替レート日時,Date,為替交換レートの適用日,〇,,,,,,,
ibt-007,0..1,1,TAX point date,"The date when the VAT becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the VAT directive.",課税基準日,0,Date,1090,/ubl:Invoice/cbc:TaxPointDate,BT-7,,,付加価値税ポイント日付,,,,,,,3450,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax/ram:TaxPointDate/udt:DateString[@format='102'],,
ibt-008,0..1,1,TAX point date code,The code of the date when the VAT becomes accountable for the Seller and for the Buyer.,課税基準日コード,売り手、買い手が税を記帳する日付が何であるかを示すコード。,Code,1170,/ubl:Invoice/cac:InvoicePeriod/cbc:DescriptionCode,BT-8,,,付加価値税ポイント日付コード,,,,,,,3470,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax/ram:DueDateTypeCode,,
ibt-009,0..1,1,Payment due date,The date when the payment is due.,支払期日,支払条件で示された支払期日。,Date,1060,/ubl:Invoice/cbc:DueDate,BT-9,1..1,1,支払期日,Date,支払条件で示された支払期日,◎,,,,3830,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:DueDateDateTime/udt:DateTimeString[@format='102'],,
,,,,,,,,,,,0..1,1,支払条件タイプコード,Code,取引決済条件のタイプを識別するコード,〇,,,,,,,
ibt-010,0..1,1,Buyer reference,An identifier assigned by the Buyer used for internal routing purposes.,買い手参照,買い手によって割り当てられたIDで、買い手の請求書精算業務の処理ワークフローで使用する。,Text,1130,/ubl:Invoice/cbc:BuyerReference,BT-10,0..1,1,購買担当参照,,購買担当によって割り当てられた識別子で内部ルーティングの目的で使用,,,,✔,1930,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerReference,,
ibt-011,0..1,1,Project reference,The identification of the project the invoice refers to,プロジェクト参照,発注品に関するプロジェクト・工事案件等を管理するための番号。,Document Reference,1460,/ubl:Invoice/cac:ProjectReference/cbc:ID,BT-11,0..1,1,プロジェクト番号,Document reference,発注品に関するプロジェクト・工事案件等を管理するための番号,〇,,,,2840,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SpecifiedProcuringProject/ram:ID,,
