JBG-00,JBG-63,JBG-64,JBG-65,JBG-74,JBG-75,JBG-79,JBG-80,JBG-84,JBG-89,JBG-90,JBG-411,JBT-003,JBT-011,JBT-017,JBT-018,JBT-019,JBT-021,JBT-022,JBT-029,JBT-046,JBT-046-1,JBT-047,JBT-047-1,JBT-048,JBT-049,JBT-050,JBT-050-1,JBT-051-1,JBT-052,JBT-053,JBT-053-1,JBT-055,JBT-058,JBT-060,JBT-061,JBT-062,JBT-063,JBT-064,JBT-065,JBT-066,JBT-067,JBT-068,JBT-068-1,JBT-069,JBT-069-1,JBT-070,JBT-071,JBT-072,JBT-072-1,JBT-073,JBT-073-1,JBT-075,JBT-078,JBT-080,JBT-081,JBT-082,JBT-083,JBT-084,JBT-085,JBT-086,JBT-087,JBT-088,JBT-090,JBT-091,JBT-118,JBT-118-1,JBT-119,JBT-119-1,JBT-120,JBT-182,JBT-183,JBT-183-1,JBT-184,JBT-185,JBT-186,JBT-187,JBT-188,JBT-189,JBT-190,JBT-192,JBT-193,JBT-195,JBT-196,JBT-212,JBT-213,JBT-215,JBT-222,JBT-230,JBT-231,JBT-247,JBT-249,JBT-251,JBT-253,JBT-254,JBT-254-1,JBT-255,JBT-256,JBT-262,JBT-263,JBT-264,JBT-264-1,JBT-264-2,JBT-265,JBT-267,JBT-268,JBT-269,JBT-271,JBT-272,JBT-272-1,JBT-273,JBT-275,JBT-276,JBT-277,JBT-279,JBT-280,JBT-280-1,JBT-281,JBT-290,JBT-294,JBT-299,JBT-300,JBT-300-1,JBT-302,JBT-303,JBT-304,JBT-305,JBT-306,JBT-307,JBT-308,JBT-309,JBT-312,JBT-313,JBT-314,JBT-315,JBT-316,JBT-317,JBT-318,JBT-319,JBT-320,JBT-321,JBT-322,JBT-323,JBT-324,JBT-326,JBT-330,JBT-331,JBT-333,JBT-334,JBT-335,JBT-336,JBT-345,JBT-365,JBT-348,JBT-354,JBT-355,JBT-358,JBT-370,JBT-371,JBT-373,JBT-374,JBT-376,JBT-377,JBT-377-1,JBT-378,JBT-387,JBT-389,JBT-390,JBT-391,JBT-393,JBT-395,JBT-396,JBT-397,JBT-402,JBT-404,JBT-406,JBT-408,JBT-408-1,JBT-409,JBT-410,JBT-412,JBT-416,JBT-417,JBT-417-1,JBT-417-2,JBT-419,JBT-421,JBT-422,JBT-423,JBT-424,JBT-425,JBT-426,JBT-427
0,,,,,,,,,,,,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:fdc:peppol:jp:billing:3.0,2023-11-20,0150abc,156,380,2023-10-24,Ordered at trade show,123456:000123:0147:1,0147,1234567890123,0188,株式会社 〇〇商事,株式会社 〇〇商事,T1234567890123,VAT,,Private Limited Company,1234567890123,0188,青木 志郎,03-3xxx-0001,shirou_aoki@〇〇co.jp,1600044,四谷4-29-X,〇〇商事ビル,Third address line,新宿区,東京都,JP,654321:000321:0147:1,0147,654321:000321:0147:1,0147,株式会社 〇〇物産,株式会社 〇〇物産,T3210987654321,VAT,3210987654321,0188,株式会社 〇〇物産,011-757-1xxx,purchaser@oobussan.co.jp,0010012,北区,北十二条西76-X,Third line,札幌市,北海道,JP,project333,USD,JPY,123456:000124:0147:1,0147,123456:000124:0147:1,0147,Payee party,TaxRepresentative Name,T7654321098765,VAT,四谷4-32-X,〇〇商事ビル,Third line,新宿区,1600044,東京都,JP,30,Credit transfer,ｶ)ﾏﾙﾏﾙｼﾖｳｼﾞ,1234:567:1:3242394,2023-10-18,2023-10-18,"月末締め翌月20日払い, 銀行手数料振込人負担",0,123,2023-10-20,O-998877,SO-12343,framework no 1,ppid-123,DR35141,ABT,130,,,,,,,false,179,値引,95,10,S,VAT,true,7679,配送サービス,FC,10,S,VAT,resadv-1,despadv-3,789,2023-10-18,123456:000123:0147:1,0147,株式会社 〇〇物産 札幌支社,0010012,北区,北十二条西76-X,Gate 15,札幌市,北海道,JP,7679,179,26000,255990,263490,289490,289490,2600000,,,,,,,,,,,,4217:2323:2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doc1,Usage summary,http://www.salescompany.com/summary001.html,aHR0cHM6Ly90ZXN0LXZlZmEuZGlmaS5uby9wZXBwb2xiaXMvcG9hY2MvYmlsbGluZy8zLjAvYmlzLw==,text/csv,report.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doc2,Usage breakdown,http://www.salescompany.com/breakdown001.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,VAT,260000,S,USD,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,VAT,3490,E,USD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600000,VAT,S,JPY,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,VAT,E,JPY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,250000,The equipment has 3 year warranty.,1,1,D001-1,5,H87,VAT,S,10,AB-123,ABZ,130,false,1500,95,値引,true,1500,CG,クリーニング,2023-10-18,2023-10-18,Cost id 654,4503994155481,0160,b-13214,97iugug876,デスクチェア,JP,86776,TST,19.05.01,50000,,,,1,H87,表示単位名称,脚
0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2500,,,,D001-2,5,H87,VAT,S,10,,,,,,,,,,,,2023-10-18,2023-10-18,,1234567890121,0160,,Item3,コピー用紙（A4）,,43211503,MP,,500,100,false,600,1,H87,表示単位名称,冊
0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3490,,,,D001-3,10,H87,VAT,E,0,,,,,,,,,,,,2023-10-18,2023-10-18,,,,,,検定済教科書(算数),,,,,349,,,,1,H87,表示単位名称,冊
