GL02,GL55,GL55-11,GL60-01,GL02-01,GL02-06,GL02-03,GL04-03,GL55-01,GL55-03,GL56-01,GL57-01,GL57-02,GL60-02
1,,,,1,2022-07-04,,,,,,,,
1,1,,,,,,,1,預金引出,,PC01,2022-09-02,
1,1,借方,,,,100,現金,,," 150,000 ",,,
1,1,,借方消費税コード,,,,,,,,,,0
1,1,貸方,,,,110,城北信当座預金,,," 150,000 ",,,
1,1,,貸方消費税コード,,,,,,,,,,0
2,,,,2,2022-07-04,,,,,,,,
2,1,,,,,,,1,ＡＢＣ工務店､看板取り外し処分,,PC02,2023-04-15,
2,1,借方,,,,529,修繕費,,," 50,000 ",,,
2,1,,借方消費税コード,,,,,,,,,,32
2,1,,借方消費税税率,,,,,,,,,,10
2,1,,借方資金区分,,,,,,,,,,56
2,1,貸方,,,,100,現金,,," 50,000 ",,,
2,1,,貸方消費税コード,,,,,,,,,,0
3,,,,3,2022-07-11,,,,,,,,
3,1,,,,,,,1,信金ｸﾚｼﾞｯﾄ扱ETC､有料道路代,,PC01,2022-09-02,
3,1,借方,,,,204,未払金,,," 7,860 ",,,
3,1,,借方消費税コード,,,,,,,,,,0
3,1,,借方資金区分,,,,,,,,,,67
3,1,貸方,,,,110,城北信当座預金,,," 7,860 ",,,
3,1,,貸方消費税コード,,,,,,,,,,0
4,,,,4,2022-07-11,,,,,,,,
4,1,,,,,,,1,城北信金､ｱﾝｻｰﾎﾝ手数料,,PC01,2022-09-02,
4,1,借方,,,,512,支払手数料,,," 1,100 ",,,
4,1,,借方消費税コード,,,,,,,,,,32
4,1,,借方消費税税率,,,,,,,,,,10
4,1,,借方資金区分,,,,,,,,,,56
4,1,貸方,,,,110,城北信当座預金,,," 1,100 ",,,
4,1,,貸方消費税コード,,,,,,,,,,0
5,,,,5,2022-07-11,,,,,,,,
5,1,,,,,,,1,大田コンサル､顧問料,,PC02,2023-04-15,
5,1,借方,,,,512,支払手数料,,," 24,444 ",,,
5,1,,借方消費税コード,,,,,,,,,,32
5,1,,借方消費税税率,,,,,,,,,,10
5,1,,借方資金区分,,,,,,,,,,56
5,1,貸方,,,,999,諸口,,," 24,444 ",,,
5,1,,貸方消費税コード,,,,,,,,,,0
6,,,,5,2022-07-11,,,,,,,,
6,2,,,,,,,2,大田コンサル､顧問料,,PC02,2023-04-15,
6,2,借方,,,,999,諸口,,," 22,176 ",,,
6,2,,借方消費税コード,,,,,,,,,,0
6,2,貸方,,,,110,城北信当座預金,,," 22,176 ",,,
6,2,,貸方消費税コード,,,,,,,,,,0
7,,,,5,2022-07-11,,,,,,,,
7,3,,,,,,,3,大田コンサル､源泉所得税,,PC02,2023-04-15,
7,3,借方,,,,999,諸口,,," 2,268 ",,,
7,3,,借方消費税コード,,,,,,,,,,0
7,3,貸方,,,,208,預り金,,," 2,268 ",,,
7,3,,貸方消費税コード,,,,,,,,,,0
7,3,,貸方資金区分,,,,,,,,,,4
8,,,,6,2022-07-11,,,,,,,,
8,1,,,,,,,1,イロハ社労士事務所､労働保険諸手続,,PC02,2023-04-15,
8,1,借方,,,,512,支払手数料,,," 55,000 ",,,
8,1,,借方消費税コード,,,,,,,,,,32
8,1,,借方消費税税率,,,,,,,,,,10
8,1,,借方資金区分,,,,,,,,,,56
8,1,貸方,,,,999,諸口,,," 55,000 ",,,
