GL02,GL02-GL55,GL55-GL60,GL55-GL61,GL02-01,GL64-01,GL64-02,GL64-03,GL64-04,GL57-01,GL57-02,GL55-03,GL55-04,GL55-05,GL63-01,GL63-02,GL63-03,GL56-01,GL56-02,GL69-02,GL60-01,GL60-02,GL60-03,GL61-01,GL61-02,GL61-03
0001-20090401-18-1-1-463,,,,1-463,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090401-18-1-1-463,0,,,,,,,,,,account,旅費,debit,726,旅費交通費,TravelingExpense,18572,ISO4217:JPY,2009-04-01,部門,010,札幌,,,
0001-20090401-18-1-1-463,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,928,ISO4217:JPY,2009-04-01,部門,010,札幌,,,
0001-20090401-18-1-1-463,2,,,,,,,,,,account,旅費,credit,111,現金,CashHand,19500,ISO4217:JPY,2009-04-01,部門,000,共通部門,,,
0001-20090401-246-2-1-465,,,,2-465,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090401-246-2-1-465,0,,,,,,,,,,account,旅費,debit,726,旅費交通費,TravelingExpense,9524,ISO4217:JPY,2009-04-01,部門,030,名古屋,,,
0001-20090401-246-2-1-465,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,476,ISO4217:JPY,2009-04-01,部門,030,名古屋,,,
0001-20090401-246-2-1-465,2,,,,,,,,,,account,旅費,credit,111,現金,CashHand,10000,ISO4217:JPY,2009-04-01,部門,000,共通部門,,,
0001-20090402-122-5-1-471,,,,5-471,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090402-122-5-1-471,0,,,,,,,,,,account,証明書発行手数料,debit,727,通信費,CommunicationCost,1000,ISO4217:JPY,2009-04-02,部門,040,大阪,,,
0001-20090402-122-5-1-471,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,50,ISO4217:JPY,2009-04-02,部門,040,大阪,,,
0001-20090402-122-5-1-471,2,,,,,,,,,,account,証明書発行手数料,credit,111,現金,CashHand,1050,ISO4217:JPY,2009-04-02,部門,000,共通部門,,,
0001-20090402-142-6-1-473,,,,6-473,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
