SemSort,ID,,Level,Card,BT,Desc.,DT,SyntSort,Path,Typ,Card,Match,Rules
1000,BT-1,IBT-001,1,1..1,Invoice number,A unique identification of the Invoice. I,,1070,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:ID,Element,1..1,,
1010,BT-2,IBT-002,1,1..1,Invoice issue date,The date when the Invoice was issued.,Date,1100,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:IssueDateTime/udt:DateTimeString[@format='102'],Element,1..1,,@format=”102”
1020,,,,,,,,1110,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:IssueDateTime/udt:DateTimeString[@format='102']/@format,Attribute,,,Only value “102”
1030,BT-3,IBT-003,1,1..1,Invoice type code,A code specifying the functional type of the Invoice.,Code,1080,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:TypeCode,Element,0..1,CAR-2,
1040,BT-5,IBT-005,1,1..1,Invoice currency code,"The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.",Code,3120,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceCurrencyCode,Element,0..1,CAR-2,
1050,BT-6,IBT-006,1,0..1,VAT accounting currency code,The currency used for VAT accounting and reporting purposes as accepted or required in the country of the Seller.,Code,3110,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:TaxCurrencyCode,Element,0..1,CAR-2,
1060,BT-7,IBT-007,1,0..1,Value added tax point date,"The date when the VAT becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the VAT directive.",Date,3450,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:TaxPointDate[@format='102'],Element,1..1,STR-2,@format=”102”
1070,,,,,,,,3460,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:TaxPointDate[@format='102']/@format,Attribute,,,Only value “102”
1080,BT-8,IBT-008,1,0..1,Value added tax point date code,The code of the date when the VAT becomes accountable for the Seller and for the Buyer.,Code,3470,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:DueDateTypeCode,Element,0..1,STR-2,
1090,BT-9,IBT-009,1,0..1,Payment due date,The date when the payment is due.,Date,3830,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradePaymentTerms/ram:DueDateDateTime/udt:DateTimeString[@format='102'],Element,1..1,,@format=”102”
1100,,,,,,,,3840,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradePaymentTerms/ram:DueDateDateTime/udt:DateTimeString[@format='102']/@format,Attribute,,,Only value “102”
1110,BT-10,IBT-010,1,0..1,Buyer reference,An identifier assigned by the Buyer used for internal routing purposes.,Text,1930,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerReference,Element,0..1,,
1120,BT-11,IBT-011,1,0..1,Project reference,The identification of the project the invoice refers to.,Document reference,2840,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SpecifiedProcuringProject/ram:ID,Element,1..1,,Use “Project reference” as default value for Name.
1130,,,,,,,,2850,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SpecifiedProcuringProject/ram:Name,Element,1..1,,Use “Project reference” as default value for Name.
1140,BT-12,IBT-012,1,0..1,Contract reference,The identification of a contract.,Document reference,2730,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:ContractReferencedCIReferencedDocument/ram:IssuerAssignedID,Element,0..1,,
1150,BT-13,IBT-013,1,0..1,Purchase order reference,"An identifier of a referenced purchase order, issued by the Buyer.",Document reference,2710,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerOrderReferencedCIReferencedDocument/ram:IssuerAssignedID,Element,0..1,,
1160,BT-14,IBT-014,1,0..1,Sales order reference,"An identifier of a referenced sales order, issued by the Seller.",Document reference,2690,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerOrderReferencedDocument/ram:IssuerAssignedID,Element,0..1,,
1170,BT-15,IBT-015,1,0..1,Receiving advice reference,An identifier of a referenced receiving advice.,Document reference,3070,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ReceivingAdviceReferencedDocument/ram:IssuerAssignedID,Element,0..1,,
1180,BT-16,IBT-016,1,0..1,Despatch advice reference,An identifier of a referenced despatch advice.,Document reference,3050,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:DespatchAdviceReferencedDocument/ram:IssuerAssignedID,Element,0..1,,
1190,BT-17,IBT-017,1,0..1,Tender or lot reference,The identification of the call for tender or lot the invoice relates to.,Document reference,2750,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument/ram:IssuerAssignedID,Element,0..1,,Use for “Tender or lot reference” with TypeCode “50”
1200,,,,,,,,2770,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument/ram:TypeCode,Element,0..1,,Use for “Tender or lot reference” with TypeCode “50”
1210,BT-18,IBT-018,1,0..1,Invoiced object identifier,The identification of the call for tender or lot the invoice relates to.,Identifier,2750,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument/ram:IssuerAssignedID,Element,0..1,CAR-2,Use for “Invoiced object identifier” with TypeCode “130” and Reference TypeCode
1220,,,,,,,,2770,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument/ram:TypeCode,Element,0..1,CAR-2,Use for “Invoiced object identifier” with TypeCode “130” and Reference TypeCode
1230,BT-18–1,IBT-18–1,2,0..1,Scheme identifier,The identification scheme identifier of the Invoiced object identifier.,String,2820,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument/ram:ReferenceTypeCode,Element,0..1,,
1240,BT-19,IBT-019,1,0..1,Buyer accounting reference,A textual value that specifies where to book the relevant data into the Buyer's financial accounts.,Text,4030,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ReceivableSpecifiedTradeAccountingAccount/ram:ID,Element,1..1,CAR-2,
1250,BT-20,IBT-020,1,0..1,Payment terms,A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).,Text,3810,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradePaymentTerms/ram:Description,Element,0..n,CAR-3,
1260,BG-1,IBG-01,1,0..n,INVOICE NOTE,"A group of business terms providing textual notes that are relevant for the invoice, together with an indication of the note subject.",,1120,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:IncludedCINote,Element,0..n,,
1270,BT-21,IBT-021,2,0..1,Invoice note subject code,The subject of the following textual note.,Code,1140,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:IncludedCINote/ram:SubjectCode,Element,0..1,,
1280,BT-22,IBT-022,2,1..1,Invoice note,A textual note that gives unstructured information that is relevant to the Invoice as a whole.,Text,1130,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:IncludedCINote/ram:Content,Element,0..n,CAR-3,
1290,BG-2,IBG-02,1,1..1,PROCESS CONTROL,A group of business terms providing information on the business process and rules applicable to the,,1010,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext,Element,1..1,,
1300,BT-23,IBT-023,2,0..1,Business process type,"Identifies the business process context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way.",Text,1030,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter/ram:ID,Element,0..1,,
1310,BT-24,IBT-024,2,1..1,Specification identifier,"An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms.",Identifier,1050,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:GuidelineSpecifiedCIDocumentContextParameter/ram:ID,Element,0..1,"CAR-2,CAR-3",
1320,BG-3,IBG-03,1,0..n,PRECEDING INVOICE REFERENCE,A group of business terms providing information on one or more preceding Invoices.,,3970,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceReferencedCIReferencedDocument,Element,0..1,,
1330,BT-25,IBT-025,2,1..1,Preceding Invoice number,The identification of an Invoice that was previously sent by the Seller.,Document reference,3980,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceReferencedCIReferencedDocument/ram:IssuerAssignedID,Element,0..1,CAR-2,
1340,BT-26,IBT-026,2,0..1,Preceding Invoice issue date,The date when the Preceding Invoice was issued.,Date,4000,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceReferencedCIReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString[@format='102'],Element,1..1,,
1350,,,,,,,,4010,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceReferencedCIReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString[@format='102']/@format,Attribute,,,Fixed value “102”
1360,BG-5,IBG-05,1,1..1,SELLER,A group of business terms providing information about the Seller.,,1940,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty,Element,0..1,,
1370,BT-27,IBT-027,2,1..1,Seller name,The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.,Text,1980,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:Name,Element,0..1,CAR-2,
1380,BT-28,IBT-028,2,0..1,Seller trading name,"A name by which the Seller is known, other than Seller name (also known as Business name).",Text,2030,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:SpecifiedCILegalOrganization/ram:TradingBusinessName,Element,0..1,,
1390,BT-29,IBT-029,2,0..n,Seller identifier,An identification of the Seller.,Identifier,1950,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:ID,Element,0..n,"SYN-1,CAR-3","GloablID, if global identifier exists and can be stated in @schemeID, ID else"
1400,,,,,,,,1960,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:GlobalID,Element,0..n,"SYN-1,CAR-3","GloablID, if global identifier exists and can be stated in @schemeID, ID else"
1410,BT-29–1,IBT-29–1,3,0..1,Seller identifier identification scheme identifier,The identification scheme identifier of the Seller identifier.,String,1970,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:GlobalID/@schemeID,Attribute,,,
1420,BT-30,IBT-030,2,0..1,Seller legal registration identifier,An identifier issued by an official registrar that identifies the Seller as a legal entity or person.,Identifier,2010,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:SpecifiedCILegalOrganization/ram:ID,Element,0..1,,
1430,BT-30–1,IBT-30–1,3,0..1,Seller legal registration identifier identification scheme identifier,The identification scheme identifier of the Seller legal registration identifier.,String,2020,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:SpecifiedCILegalOrganization/ram:ID/@schemeID,Attribute,,,
1440,BT-31,IBT-031,2,0..1,Seller VAT identifier,The Seller's VAT identifier (also known as Seller VAT identification number).,Identifier,2230,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:SpecifiedCITaxRegistration/ram:ID[@schemeID='VA'],Element,0..1,,@schemeID=”VA”
1450,BT-32,IBT-032,2,0..1,Seller tax registration identifier,The local identification (defined by the Seller’s address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.,Identifier,2230,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:SpecifiedCITaxRegistration/ram:ID[@schemeID='TC'],Element,0..1,,@schemeID=”FC”
1460,BT-33,IBT-033,2,0..1,Seller additional legal information,Additional legal information relevant for the Seller.,Text,1990,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:Description,Element,0..n,CAR-3,
1470,BT-34,IBT-034,2,0..1,Seller electronic address,Identifies the Seller's electronic address to which a business document may be delivered.,Identifier,2200,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:URIUniversalCommunication/ram:URIID,Element,0..1,CAR-3,
1480,BT-34–1,IBT-34–1,3,1..1,Seller electronic address identification scheme identifier,The identification scheme identifier of the Seller electronic address,String,2210,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:URIUniversalCommunication/ram:URIID/@schemeID,Attribute,,,
1490,BG-5,IBG-05,2,1..1,SELLER POSTAL ADDRESS,A group of business terms providing information about the address of the Seller.,,2110,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress,Element,0..1,,
1500,BT-35,IBT-035,3,0..1,Seller address line 1,The main address line in an address.,Text,2130,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:LineOne,Element,0..1,,
1510,BT-36,IBT-036,3,0..1,Seller address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,Text,2140,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:LineTwo,Element,0..1,,
1520,BT-162,IBT-162,3,0..1,Seller address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,Text,2150,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:LineThree,Element,0..1,,
1530,BT-37,IBT-037,3,0..1,Seller city,"The common name of the city, town or village, where the Seller address is located.",Text,2160,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:CityName,Element,0..1,,
1540,BT-38,IBT-038,3,0..1,Seller post code,The identifier for an addressable group of properties according to the relevant postal service.,Text,2120,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:PostcodeCode,Element,0..1,,
