semSort,id,card,level,businessTerm,desc,dataType,businessTerm_ja,desc_ja,synSort,element,synDatatype,xPath,occur
1000,ibg-00,1..1,0,Invoice,Commercial invoice,,デジタルインボイス,請求書,1000,ubl:Invoice,InvoiceType,/Invoice,1..1
1010,ibt-001,1..1,1,Invoice number,A unique identification of the Invoice.,Identifier,請求書番号,請求書の一意識別番号。,1030,cbc:ID,udt:IdentifierType,/Invoice/cbc:ID,1..1
1020,ibt-002,1..1,1,Invoice issue date,The date when the Invoice was issued.,Date,請求書発行日,請求書の発行日付。,1040,cbc:IssueDate,udt:DateType,/Invoice/cbc:IssueDate,1..1
1030,ibt-168,0..1,1,Invoice issue time,The time of day when an invoice was issued,Time,請求書発行時刻,請求書の発行時刻。,1050,cbc:IssueTime,udt:TimeType,/Invoice/cbc:IssueTime,0..1
1040,ibt-003,1..1,1,Invoice type code,A code specifying the functional type of the Invoice.,Code,請求書タイプコード,この文書のタイプを識別するコード。請求書の機能を特定するためのコード。,1070,cbc:InvoiceTypeCode,udt:CodeType,/Invoice/cbc:InvoiceTypeCode,0..1
1050,ibt-005,1..1,1,Invoice currency code,"The currency in which all Invoice amounts are given	 except for the Total TAX amount in accounting currency.",Code,請求書通貨コード,請求書に記載された通貨を表すコード。会計通貨での請求書消費税合計金額を除き、請求書に記載されている全て金額の表示の通貨コード。,1100,cbc:DocumentCurrencyCode,udt:CodeType,/Invoice/cbc:DocumentCurrencyCode,0..1
1060,ibt-006,0..1,1,Tax accounting currency,The currency used for TAX accounting and reporting purposes as accepted or required in the country of the Seller.,Code,税会計報告用通貨コード,会計報告や税務報告に使用する通貨を表すコード。売り手の国で認められたもしくは要求された会計報告や税務報告に使用する通貨を表すコード。,1110,cbc:TaxCurrencyCode,udt:CodeType,/Invoice/cbc:TaxCurrencyCode,0..1
1070,ibt-007,0..1,1,TAX point date,"The date when the TAX becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice	 according to the TAX directive.",Date,課税基準日,,1090,cbc:TaxPointDate,udt:DateType,/Invoice/cbc:TaxPointDate,0..1
1080,ibt-008,0..1,1,TAX point date code,The code of the date when the TAX becomes accountable for the Seller and for the Buyer.,Code,課税基準日コード,売り手、買い手が税を記帳する日付が何であるかを示すコード。,1170,cbc:DescriptionCode,udt:CodeType,/Invoice/cac:InvoicePeriod/cbc:DescriptionCode,0..n
1090,ibt-009,0..1,1,Payment due date,The date when the payment is due.,Date,支払期日,支払条件で示された支払期日。,1060,cbc:DueDate,udt:DateType,/Invoice/cbc:DueDate,0..1
1100,ibt-010,0..1,1,Buyer reference,An identifier assigned by the Buyer used for internal routing purposes.,Text,買い手参照,買い手によって割り当てられたIDで、買い手の請求書精算業務の処理ワークフローで使用する。,1130,cbc:BuyerReference,udt:TextType,/Invoice/cbc:BuyerReference,0..1
1110,ibt-011,0..1,1,Project reference,The identification of the project the invoice refers to,Document Reference,プロジェクト参照,発注品に関するプロジェクト・工事案件等を管理するための番号。,1460,cbc:ID,udt:IdentifierType,/Invoice/cac:ProjectReference/cbc:ID,1..1
1120,ibt-012,0..1,1,Contract reference,The identification of a contract.,Document Reference,契約書参照,参照する契約書に記載された文書番号。,1320,cbc:ID,udt:IdentifierType,/Invoice/cac:ContractDocumentReference/cbc:ID,1..1
1130,ibt-013,0..1,1,Purchase order reference,"An identifier of a referenced purchase order	 issued by the Buyer.",Document Reference,購買発注参照,買い手が発行した購買発注を参照する場合の当該購買発注に記載の文書番号。,1190,cbc:ID,udt:IdentifierType,/Invoice/cac:OrderReference/cbc:ID,1..1
1140,ibt-014,0..1,1,Sales order reference,An identifier of a referenced sales order issued by the Seller.,Document Reference,受注参照,売り手が発行した受注を参照する場合の当該受注に記載の文書番号。,1200,cbc:SalesOrderID,udt:IdentifierType,/Invoice/cac:OrderReference/cbc:SalesOrderID,0..1
1150,ibt-015,0..1,1,Receiving advice reference,An identifier of a referenced receiving advice.,Document Reference,受取通知書参照,参照する受取通知書に買い手が付番した番号。,1280,cbc:ID,udt:IdentifierType,/Invoice/cac:ReceiptDocumentReference/cbc:ID,1..1
1160,ibt-016,0..1,1,Despatch advice reference,An identifier of a referenced despatch advice.,Document Reference,出荷案内書参照,参照する出荷案内書に売り手が付番した番号。,1260,cbc:ID,udt:IdentifierType,/Invoice/cac:DespatchDocumentReference/cbc:ID,1..1
1170,ibt-017,0..1,1,Tender or lot reference,The identification of the call for tender or lot the invoice relates to.,Document Reference,入札又はロット参照,参照する入札またはロットの番号。,1300,cbc:ID,udt:IdentifierType,/Invoice/cac:OriginatorDocumentReference/cbc:ID,1..1
1180,ibt-018,0..1,1,Invoiced object identifier,"An identifier for an object on which the invoice is based	 given by the Seller.",Identifier,請求するオブジェクトID,請求書の根拠となるIDで、売り手が指定。請求書の根拠となるオブジェクトのIDで、売り手が指定したもの。,1340,cbc:ID,udt:IdentifierType,/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID,1..1
1190,ibt-018-1,0..1,2,The identification scheme identifier of the Invoiced object identifier.,"If it may be not clear for the receiver what scheme is used for the identifier	 a conditional scheme identifier should be used that shall be chosen from the UNTDID 1153 code list [6] entries.",String,請求するオブジェクトIDのスキーマID,受信者にとって、IDにどのスキーマが使用されているかが明確でない場合は、UNTDID1153コードリストから選択される条件付きスキーマIDを使用する必要がある。,1350,@schemeID,xsd:normalizedString,/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID,0..1
1200,ibt-019,0..1,1,Buyer accounting reference,A textual value that specifies where to book the relevant data into the Buyer’s financial accounts.,Text,買い手会計参照,買い手の財務勘定科目に関連データを記帳する場所を指定する。買い手のどの勘定に関連データを記帳すべきかを指定するためのテキスト値。,1120,cbc:AccountingCost,udt:TextType,/Invoice/cbc:AccountingCost,0..1
1210,ibg-33,0..n,1,INVOICE TERMS,Information about the terms that apply to the settlement of the invoice amount.,,支払条件,請求金額の決済に適用される条件に関する情報。,2920,cac:PaymentTerms,cac:PaymentTermsType,/Invoice/cac:PaymentTerms,0..n
1220,ibt-187,0..1,2,Terms payment instructions ID,The payment instructions that apply to these payment terms.,Identifier,支払条件指示ID,これらの支払条件を適用する支払指示。,2930,cbc:PaymentMeansID,udt:IdentifierType,/Invoice/cac:PaymentTerms/cbc:PaymentMeansID,0..n
1230,ibt-020,0..1,2,Payment terms,A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).,Text,支払条件,支払額に適用される支払条件の説明(罰則の記載を含む)。支払条件の文字による説明。,2940,cbc:Note,udt:TextType,/Invoice/cac:PaymentTerms/cbc:Note,0..n
1240,ibt-176,0..1,2,Terms amount,The payment amount that these terms apply to.,Amount,支払条件金額,これらの条件が適用される支払金額。,2950,cbc:Amount,udt:AmountType,/Invoice/cac:PaymentTerms/cbc:Amount,0..1
1250,ibt-177,0..1,2,Terms installment due date,The date before end of which the terms amount shall be settled.,Date,分割支払支払期日,分割支払の場合の各支払期日。,2960,cbc:InstallmentDueDate,udt:DateType,/Invoice/cac:PaymentTerms/cbc:InstallmentDueDate,0..1
1260,ibt-022,0..1,1,Invoice note,A textual note that gives unstructured information that is relevant to the Invoice as a whole.,Text,請求書注釈内容,注釈の内容を入力するフリースペース。,1080,cbc:Note,udt:TextType,/Invoice/cbc:Note,0..n
1270,ibg-02,1..1,1,PROCESS CONTROL,A group of business terms providing information on the business process and rules applicable to the Invoice document.,,プロセスコントロール,請求書に適用するビジネスプロセス及びルールについての情報を提供するビジネス用語のグループ。,4570,_,_,_,_
