month,account_code,account_name,beginning_balance,debit_amount,credit_amount,ending_balance
2009-09,111,現金,2603678,15392930,14227526,3769082
2009-09,121,当座預金,18438189,189598518,198697046,9339661
2009-09,131,普通預金,37099484,418736332,412756481,43079335
2009-09,148,定期積金,7500000,3000000,0,10500000
2009-09,150,受取手形,45777986,201482843,181125577,66135252
2009-09,152,売掛金,-255611104,381858469,437740461,-311493096
2009-09,183,短期貸付金,-600000,0,240000,-840000
2009-09,191,仮払消費税等,37273941,14955109,0,52229050
2009-09,248,保険積立金,1875000,750000,0,2625000
2009-09,301,支払手形,53082316,96163086,77954956,71290446
2009-09,312,買掛金,76460078,239424216,224008453,91875841
2009-09,321,短期借入金,9802500,3921000,0,13723500
2009-09,322,未払金,463903,45044249,44400176,1107976
2009-09,326,預り金,-8447752,9259187,12260677,-11449242
2009-09,335,仮受消費税等,-45555412,476,18183230,-63738166
2009-09,511,売上高,-906854064,0,362417795,-1269271859
2009-09,541,商品仕入高,525642700,212644210,0,738286910
2009-09,711,役員報酬,25800000,10320000,0,36120000
2009-09,712,給与手当,82174294,31823531,0,113997825
2009-09,721,雑給,5006928,2157927,0,7164855
2009-09,723,法定福利費,12100412,4869714,0,16970126
2009-09,724,福利厚生費,5550618,2267141,0,7817759
2009-09,726,旅費交通費,15010875,5871765,0,20882640
2009-09,727,通信費,17022013,6474560,0,23496573
2009-09,728,業務委託費,31539905,12241961,0,43781866
2009-09,731,運賃,53238394,21367442,0,74605836
2009-09,732,広告宣伝費,2431254,980673,0,3411927
2009-09,733,交際接待費,5210396,1912453,0,7122849
2009-09,734,会議費,473191,171859,0,645050
2009-09,736,水道光熱費,8990347,3495166,0,12485513
2009-09,737,消耗品費,4434982,3462860,1731430,6166412
2009-09,738,租税公課,175000,177000,0,352000
2009-09,739,新聞図書費,367260,146904,0,514164
2009-09,740,車両費,8343822,3497994,0,11841816
2009-09,741,支払手数料,166750,68350,0,235100
2009-09,742,諸会費,1740000,696000,0,2436000
2009-09,746,支払報酬,1995870,798348,0,2794218
2009-09,747,地代家賃,49271430,19708572,0,68980002
2009-09,752,保険料,4782300,1912920,0,6695220
2009-09,753,修繕維持費,774433,236144,0,1010577
2009-09,754,事務用消耗品費,1995028,765523,0,2760551
2009-09,791,雑費,7008146,2799765,0,9807911
2009-09,821,支払利息,1920443,723109,0,2643552
,,,,1977318250,1986688292,
