JBG-00,JBG-63,JBG-64,JBG-65,JBG-74,JBG-75,JBG-79,JBG-84,JBG-89,JBG-90,JBG-411,JBT-003,JBT-011,JBT-019,JBT-021,JBT-022,JBT-029,JBT-046,JBT-047,JBT-048,JBT-050,JBT-050-1,JBT-053,JBT-053-1,JBT-055,JBT-058,JBT-060,JBT-061,JBT-062,JBT-063,JBT-064,JBT-067,JBT-068,JBT-069,JBT-070,JBT-072,JBT-072-1,JBT-073,JBT-073-1,JBT-075,JBT-078,JBT-080,JBT-081,JBT-082,JBT-083,JBT-084,JBT-087,JBT-088,JBT-090,JBT-091,JBT-118,JBT-119,JBT-120,JBT-192,JBT-193,JBT-195,JBT-196,JBT-212,JBT-213,JBT-215,JBT-222,JBT-230,JBT-231,JBT-247,JBT-249,JBT-251,JBT-256,JBT-262,JBT-263,JBT-264,JBT-264-1,JBT-264-2,JBT-265,JBT-267,JBT-268,JBT-269,JBT-271,JBT-272,JBT-275,JBT-276,JBT-277,JBT-279,JBT-280,JBT-290,JBT-294,JBT-299,JBT-300,JBT-302,JBT-303,JBT-304,JBT-305,JBT-306,JBT-309,JBT-312,JBT-313,JBT-314,JBT-315,JBT-316,JBT-317,JBT-318,JBT-319,JBT-320,JBT-321,JBT-322,JBT-323,JBT-324,JBT-326,JBT-330,JBT-331,JBT-333,JBT-334,JBT-335,JBT-336,JBT-345,JBT-365,JBT-348,JBT-354,JBT-355,JBT-358,JBT-370,JBT-371,JBT-373,JBT-374,JBT-376,JBT-387,JBT-389,JBT-390,JBT-391,JBT-395,JBT-396,JBT-397,JBT-402,JBT-404,JBT-406,JBT-408,JBT-409,JBT-410,JBT-412,JBT-416,JBT-419,JBT-424,JBT-425,JBT-426,JBT-427
0,,,,,,,,,,,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:fdc:peppol:jp:billing:3.0,156,380,2023-10-24,Ordered at trade show,123456:000123:0147:1,1234567890123,株式会社 〇〇商事,T1234567890123,VAT,1234567890123,0188,青木 志郎,03-3xxx-0001,shirou_aoki@〇〇co.jp,1600044,四谷4-29-X,〇〇商事ビル,Third address line,JP,654321:000321:0147:1,654321:000321:0147:1,株式会社 〇〇物産,T3210987654321,VAT,3210987654321,0188,株式会社 〇〇物産,011-757-1xxx,purchaser@oobussan.co.jp,0010012,北区,北十二条西76-X,Third line,JP,project333,USD,JPY,123456:000124:0147:1,123456:000124:0147:1,Payee party,30,Credit transfer,ｶ)ﾏﾙﾏﾙｼﾖｳｼﾞ,1234:567:1:3242394,2023-10-18,2023-10-18,"月末締め翌月20日払い, 銀行手数料振込人負担",0,123,2023-10-20,O-998877,SO-12343,framework no 1,,,,,,,true,179,値引,95,10,S,,,,,,despadv-3,789,2023-10-18,123456:000123:0147:1,株式会社 〇〇物産 札幌支社,0010012,北区,北十二条西76-X,Gate 15,JP,7679,179,2600000,255990,263490,289490,289490,2600000,,,,,,,,,,,,4217:2323:2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doc2,Usage breakdown,http://www.salescompany.com/breakdown001.html,aHR0cHM6Ly90ZXN0LXZlZmEuZGlmaS5uby9wZXBwb2xiaXMvcG9hY2MvYmlsbGluZy8zLjAvYmlzLw==,text/csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doc2,Usage breakdown,http://www.salescompany.com/breakdown001.html,aHR0cHM6Ly90ZXN0LXZlZmEuZGlmaS5uby9wZXBwb2xiaXMvcG9hY2MvYmlsbGluZy8zLjAvYmlzLw==,text/csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7679,配送サービス,FC,10,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7679,配送サービス,FC,10,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,VAT,3490,E,USD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,VAT,3490,E,USD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,VAT,E,JPY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,VAT,E,JPY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3490,The equipment has 3 year warranty.,1,1,,,,,,,true,1500,95,値引,,,,,,Cost id 654,,,,,,,,,,
0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D001-3,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D001-3,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D001-3,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,H87,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,H87,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,H87,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAT,E,0,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAT,E,0,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAT,E,0,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,CG,クリーニング,,,,,,,,,,,,,
