month,account_code,account_name,beginning_balance,debit_amount,credit_amount,ending_balance
2010-02,111,現金,8180383,28232631,26419472,9993542
2010-02,121,当座預金,19855003,355186725,337959533,37082195
2010-02,131,普通預金,66730623,769334601,760579968,75485256
2010-02,148,定期積金,27740000,5980000,0,33720000
2010-02,150,受取手形,141684080,394687432,346996393,189375119
2010-02,152,売掛金,-440788286,782676173,833451235,-491563348
2010-02,183,短期貸付金,-550000,600000,590000,-540000
2010-02,191,仮払消費税等,143069319,30532227,0,173601546
2010-02,248,保険積立金,6875000,1375000,0,8250000
2010-02,301,支払手形,121368852,153369419,174753296,99984975
2010-02,312,買掛金,85283303,478447792,466881659,96849436
2010-02,321,短期借入金,35942500,7188500,0,43131000
2010-02,322,未払金,-6993941,90425553,89871164,-6439552
2010-02,326,預り金,-30204033,17455755,23252940,-36001218
2010-02,335,仮受消費税等,-174289999,476,37269272,-211558795
2010-02,511,売上高,-3475380429,0,744149457,-4219529886
2010-02,541,商品仕入高,2048655048,443953260,0,2492608308
2010-02,711,役員報酬,94688344,18964172,0,113652516
2010-02,712,給与手当,292696584,57291314,0,349987898
2010-02,721,雑給,21094758,4314002,0,25408760
2010-02,723,法定福利費,44744965,9463854,0,54208819
2010-02,724,福利厚生費,21815660,4655115,0,26470775
2010-02,726,旅費交通費,54433836,10720601,0,65154437
2010-02,727,通信費,59276387,11519448,0,70795835
2010-02,728,業務委託費,114895906,22986917,0,137882823
2010-02,731,運賃,209058899,46416760,0,255475659
2010-02,732,広告宣伝費,9158439,1892583,0,11051022
2010-02,733,交際接待費,18474993,3906995,0,22381988
2010-02,734,会議費,1570536,290884,0,1861420
2010-02,736,水道光熱費,32592217,6444548,0,39036765
2010-02,737,消耗品費,15509696,6040300,3020150,18529846
2010-02,739,新聞図書費,1346620,269324,0,1615944
2010-02,740,車両費,32203452,6610733,0,38814185
2010-02,741,支払手数料,625700,126500,0,752200
2010-02,742,諸会費,6380000,1276000,0,7656000
2010-02,744,リース料,2798580,3078438,0,5877018
2010-02,746,支払報酬,7318190,1463638,0,8781828
2010-02,747,地代家賃,180661910,36132382,0,216794292
2010-02,752,保険料,17535100,3507020,0,21042120
2010-02,753,修繕維持費,0,304287,0,304287
2010-02,754,事務用消耗品費,6937996,1329306,0,8267302
2010-02,791,雑費,25702422,5125569,0,30827991
2010-02,821,支払利息,6679112,1169093,0,7848205
,,,,3829728981,3846139023,
