GL02,GL02-GL57,GL02-GL64,GL02-GL55,GL55-GL56,GL55-GL60,GL55-GL61,GL55-GL63,GL02-01,GL57-01,GL57-02,GL64-01,GL64-02,GL64-03,GL64-04,GL55-01,GL55-03,GL55-04,GL55-05,GL56-01,GL56-02,GL60-01,GL60-02,GL60-03,GL61-01,GL61-02,GL61-03,GL63-01,GL63-02,GL63-03
0001-20090401-18-1-1-463,,,,,,,,1-463,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090401-18-1-1-463,,,0,,,,,,,,,,,,18,account,旅費,debit,18572,ISO4217:JPY,,,,部門,010,札幌,726,旅費交通費,TravelingExpense
0001-20090401-18-1-1-463,,,1,,,,,,,,,,,,18,account,,debit,928,ISO4217:JPY,,,,部門,010,札幌,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090401-18-1-1-463,,,2,,,,,,,,,,,,18,account,旅費,credit,19500,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090401-246-2-1-465,,,,,,,,2-465,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090401-246-2-1-465,,,0,,,,,,,,,,,,246,account,旅費,debit,9524,ISO4217:JPY,,,,部門,030,名古屋,726,旅費交通費,TravelingExpense
0001-20090401-246-2-1-465,,,1,,,,,,,,,,,,246,account,,debit,476,ISO4217:JPY,,,,部門,030,名古屋,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090401-246-2-1-465,,,2,,,,,,,,,,,,246,account,旅費,credit,10000,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090402-122-5-1-471,,,,,,,,5-471,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090402-122-5-1-471,,,0,,,,,,,,,,,,122,account,証明書発行手数料,debit,1000,ISO4217:JPY,,,,部門,040,大阪,727,通信費,CommunicationCost
0001-20090402-122-5-1-471,,,1,,,,,,,,,,,,122,account,,debit,50,ISO4217:JPY,,,,部門,040,大阪,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090402-122-5-1-471,,,2,,,,,,,,,,,,122,account,証明書発行手数料,credit,1050,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090402-142-6-1-473,,,,,,,,6-473,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090402-142-6-1-473,,,0,,,,,,,,,,,,142,account,高速代,debit,2458,ISO4217:JPY,,,,部門,040,大阪,740,車両費,VehiclesExpense
0001-20090402-142-6-1-473,,,1,,,,,,,,,,,,142,account,,debit,122,ISO4217:JPY,,,,部門,040,大阪,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090402-142-6-1-473,,,2,,,,,,,,,,,,142,account,高速代,credit,14050,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090402-142-6-1-473,,,3,,,,,,,,,,,,142,account,駐車代,debit,591,ISO4217:JPY,,,,部門,040,大阪,740,車両費,VehiclesExpense
0001-20090402-142-6-1-473,,,4,,,,,,,,,,,,142,account,,debit,29,ISO4217:JPY,,,,部門,040,大阪,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090402-142-6-1-473,,,5,,,,,,,,,,,,142,account,ガソリン代,debit,4620,ISO4217:JPY,,,,部門,040,大阪,740,車両費,VehiclesExpense
0001-20090402-142-6-1-473,,,6,,,,,,,,,,,,142,account,,debit,230,ISO4217:JPY,,,,部門,040,大阪,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090402-142-6-1-473,,,7,,,,,,,,,,,,142,account,洗車券代,debit,5715,ISO4217:JPY,,,,部門,040,大阪,740,車両費,VehiclesExpense
0001-20090402-142-6-1-473,,,8,,,,,,,,,,,,142,account,,debit,285,ISO4217:JPY,,,,部門,040,大阪,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090402-19-3-1-467,,,,,,,,3-467,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090402-19-3-1-467,,,0,,,,,,,,,,,,19,account,旅費,debit,10477,ISO4217:JPY,,,,部門,010,札幌,726,旅費交通費,TravelingExpense
0001-20090402-19-3-1-467,,,1,,,,,,,,,,,,19,account,,debit,523,ISO4217:JPY,,,,部門,010,札幌,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090402-19-3-1-467,,,2,,,,,,,,,,,,19,account,旅費,credit,11000,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090402-68-4-1-469,,,,,,,,4-469,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090402-68-4-1-469,,,0,,,,,,,,,,,,68,account,トイレットペーパー他,debit,2829,ISO4217:JPY,,,,部門,010,札幌,791,雑費,MiscellaneousExpense
0001-20090402-68-4-1-469,,,1,,,,,,,,,,,,68,account,,debit,141,ISO4217:JPY,,,,部門,010,札幌,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090402-68-4-1-469,,,2,,,,,,,,,,,,68,account,トイレットペーパー他,credit,2970,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090403-134-8-1-477,,,,,,,,8-477,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090403-134-8-1-477,,,0,,,,,,,,,,,,134,account,用紙,debit,14858,ISO4217:JPY,,,,部門,010,札幌,754,事務用消耗品費,StationeryExpense
0001-20090403-134-8-1-477,,,1,,,,,,,,,,,,134,account,,debit,742,ISO4217:JPY,,,,部門,010,札幌,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090403-134-8-1-477,,,2,,,,,,,,,,,,134,account,用紙,credit,15600,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090403-41-7-1-475,,,,,,,,7-475,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090403-41-7-1-475,,,0,,,,,,,,,,,,41,account,結婚式会費,debit,12000,ISO4217:JPY,,,,部門,020,東京,733,交際接待費,EntertainmentExpense
0001-20090403-41-7-1-475,,,1,,,,,,,,,,,,41,account,結婚式会費,credit,12000,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090404-310-9-1-479,,,,,,,,9-479,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090404-310-9-1-479,,,0,,,,,,,,,,,,310,account,ガソリン代,debit,6486,ISO4217:JPY,,,,部門,050,九州,740,車両費,VehiclesExpense
0001-20090404-310-9-1-479,,,1,,,,,,,,,,,,310,account,,debit,324,ISO4217:JPY,,,,部門,050,九州,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090404-310-9-1-479,,,2,,,,,,,,,,,,310,account,ガソリン代,credit,18270,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090404-310-9-1-479,,,3,,,,,,,,,,,,310,account,高速代,debit,9715,ISO4217:JPY,,,,部門,050,九州,740,車両費,VehiclesExpense
0001-20090404-310-9-1-479,,,4,,,,,,,,,,,,310,account,,debit,485,ISO4217:JPY,,,,部門,050,九州,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090404-310-9-1-479,,,5,,,,,,,,,,,,310,account,駐車代,debit,1200,ISO4217:JPY,,,,部門,050,九州,740,車両費,VehiclesExpense
0001-20090404-310-9-1-479,,,6,,,,,,,,,,,,310,account,,debit,60,ISO4217:JPY,,,,部門,050,九州,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090405-133-11-1-483,,,,,,,,11-483,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090405-133-11-1-483,,,0,,,,,,,,,,,,133,account,税理士報酬,debit,133058,ISO4217:JPY,,,,部門,020,東京,746,支払報酬,ProfessionalsFee
0001-20090405-133-11-1-483,,,1,,,,,,,,,,,,133,account,,debit,6652,ISO4217:JPY,,,,部門,020,東京,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090405-133-11-1-483,,,2,,,,,,,,,,,,133,account,税理士報酬,credit,139710,ISO4217:JPY,,,,,,,131,普通預金,OrdinaryDeposit
0001-20090405-133-11-1-483,,,2,,,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090405-133-11-1-483,,,2,,,1,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
0001-20090405-139-12-1-485,,,,,,,,12-485,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090405-139-12-1-485,,,0,,,,,,,,,,,,139,account,制服代,debit,52981,ISO4217:JPY,,,,部門,040,大阪,724,福利厚生費,WelfareExpense
0001-20090405-139-12-1-485,,,1,,,,,,,,,,,,139,account,,debit,2649,ISO4217:JPY,,,,部門,040,大阪,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090405-139-12-1-485,,,2,,,,,,,,,,,,139,account,制服代,credit,55630,ISO4217:JPY,,,,部門,000,共通部門,322,未払金,AccountsPayableOther
0001-20090405-254-13-1-487,,,,,,,,13-487,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090405-254-13-1-487,,,0,,,,,,,,,,,,254,account,09年4月5日伝票No190株式会社　渡辺産業,debit,2959035,ISO4217:JPY,,,,,,,131,普通預金,OrdinaryDeposit
0001-20090405-254-13-1-487,,,0,,,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090405-254-13-1-487,,,0,,,1,,,,,,,,,,,,,,,,,,補助科目,50,福岡　北九州,,,
0001-20090405-254-13-1-487,,,1,,,,,,,,,,,,254,account,09年4月5日伝票No190株式会社　渡辺産業,credit,2959035,ISO4217:JPY,customer,022,㈱渡辺産業,部門,000,共通部門,152,売掛金,AccountsReceivableTradeGross
0001-20090405-254-13-1-487,,,2,,,,,,,,,,,,254,account,09年4月5日伝票No190株式会社　渡辺産業,debit,600,ISO4217:JPY,,,,部門,050,九州,741,支払手数料,CommissionExpense
0001-20090405-254-13-1-487,,,3,,,,,,,,,,,,254,account,,debit,30,ISO4217:JPY,,,,部門,050,九州,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090405-254-13-1-487,,,4,,,,,,,,,,,,254,account,09年4月5日伝票No190株式会社　渡辺産業,credit,630,ISO4217:JPY,customer,022,㈱渡辺産業,部門,000,共通部門,152,売掛金,AccountsReceivableTradeGross
0001-20090405-255-14-1-489,,,,,,,,14-489,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090405-255-14-1-489,,,0,,,,,,,,,,,,255,account,09年4月5日伝票No191佐々木販売株式会社,debit,1508295,ISO4217:JPY,,,,,,,131,普通預金,OrdinaryDeposit
0001-20090405-255-14-1-489,,,0,,,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
