month,account_code,account_name,beginning_balance,debit_amount,credit_amount,ending_balance
2009-08,111,現金,1349434,13211655,11957411,2603678
2009-08,121,当座預金,16355683,172801496,170718990,18438189
2009-08,131,普通預金,27172965,363927747,354001228,37099484
2009-08,148,定期積金,5000000,2500000,0,7500000
2009-08,150,受取手形,39491365,170615176,164328555,45777986
2009-08,152,売掛金,-197264590,318936487,377283001,-255611104
2009-08,183,短期貸付金,-400000,0,200000,-600000
2009-08,191,仮払消費税等,24764047,12509894,0,37273941
2009-08,248,保険積立金,1250000,625000,0,1875000
2009-08,301,支払手形,34733662,84871205,66522551,53082316
2009-08,312,買掛金,62159179,201121931,186821032,76460078
2009-08,321,短期借入金,6535000,3267500,0,9802500
2009-08,322,未払金,212791,37710669,37459557,463903
2009-08,326,預り金,-5893046,7842355,10397061,-8447752
2009-08,335,仮受消費税等,-30368857,476,15187031,-45555412
2009-08,511,売上高,-604362052,0,302492012,-906854064
2009-08,541,商品仕入高,348415338,177227362,0,525642700
2009-08,711,役員報酬,17200000,8600000,0,25800000
2009-08,712,給与手当,55166308,27007986,0,82174294
2009-08,721,雑給,3205031,1801897,0,5006928
2009-08,723,法定福利費,7947214,4153198,0,12100412
2009-08,724,福利厚生費,3499852,2050766,0,5550618
2009-08,726,旅費交通費,10102507,4908368,0,15010875
2009-08,727,通信費,11514634,5507379,0,17022013
2009-08,728,業務委託費,21124002,10415903,0,31539905
2009-08,731,運賃,35349040,17889354,0,53238394
2009-08,732,広告宣伝費,1632963,798291,0,2431254
2009-08,733,交際接待費,3526713,1683683,0,5210396
2009-08,734,会議費,325137,148054,0,473191
2009-08,736,水道光熱費,6068716,2921631,0,8990347
2009-08,737,消耗品費,3004530,2860904,1430452,4434982
2009-08,738,租税公課,0,175000,0,175000
2009-08,739,新聞図書費,244840,122420,0,367260
2009-08,740,車両費,5543194,2800628,0,8343822
2009-08,741,支払手数料,110100,56650,0,166750
2009-08,742,諸会費,1160000,580000,0,1740000
2009-08,744,リース料,1119432,1399290,0,2518722
2009-08,746,支払報酬,1330580,665290,0,1995870
2009-08,747,地代家賃,32847620,16423810,0,49271430
2009-08,752,保険料,3188200,1594100,0,4782300
2009-08,753,修繕維持費,555289,219144,0,774433
2009-08,754,事務用消耗品費,1341282,653746,0,1995028
2009-08,791,雑費,4672356,2335790,0,7008146
2009-08,821,支払利息,1230009,690434,0,1920443
,,,,1690373323,1699743365,
