num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,742,諸会費,,1392000,0,1392000
394,0001-20090415-117-75-1-611,1,2009-04-15,111,現金,会費,20000,0,20000
397,0001-20090415-130-76-1-613,1,2009-04-15,131,普通預金,会費,24000,0,44000
550,0001-20090420-163-115-1-691,1,2009-04-20,111,現金,会費,18000,0,62000
825,0001-20090425-131-160-1-781,1,2009-04-25,131,普通預金,会費,24000,0,86000
1541,0001-20090430-67-197-1-855,1,2009-04-30,111,現金,会費支払い,30000,0,116000
,,,2009-04,,※※月計※※,,116000,0,
1946,0001-20090515-117-327-1-1115,1,2009-05-15,111,現金,会費,20000,0,136000
1949,0001-20090515-130-328-1-1117,1,2009-05-15,131,普通預金,会費,24000,0,160000
2182,0001-20090521-163-368-1-1197,1,2009-05-21,111,現金,会費,18000,0,178000
2346,0001-20090525-131-401-1-1263,1,2009-05-25,131,普通預金,会費,24000,0,202000
3101,0001-20090531-67-443-1-1347,1,2009-05-31,111,現金,会費支払い,30000,0,232000
,,,2009-05,,※※月計※※,,116000,0,
3528,0001-20090615-117-561-1-1583,1,2009-06-15,111,現金,会費,20000,0,252000
3531,0001-20090615-130-562-1-1585,1,2009-06-15,131,普通預金,会費,24000,0,276000
3808,0001-20090622-163-615-1-1691,1,2009-06-22,111,現金,会費,18000,0,294000
3849,0001-20090624-131-625-1-1711,1,2009-06-24,131,普通預金,会費,24000,0,318000
4555,0001-20090630-67-667-1-1795,1,2009-06-30,111,現金,会費支払い,30000,0,348000
,,,2009-06,,※※月計※※,,116000,0,
5051,0001-20090715-117-787-1-2035,1,2009-07-15,111,現金,会費,20000,0,368000
5054,0001-20090715-130-788-1-2037,1,2009-07-15,131,普通預金,会費,24000,0,392000
5268,0001-20090720-163-831-1-2123,1,2009-07-20,111,現金,会費,18000,0,410000
5487,0001-20090725-131-868-1-2197,1,2009-07-25,131,普通預金,会費,24000,0,434000
5809,0001-20090730-67-896-1-2253,1,2009-07-30,111,現金,会費支払い,30000,0,464000
,,,2009-07,,※※月計※※,,116000,0,
6552,0001-20090815-130-1019-1-2499,1,2009-08-15,131,普通預金,会費,24000,0,488000
6648,0001-20090817-117-1025-1-2511,1,2009-08-17,111,現金,会費,20000,0,508000
6883,0001-20090822-163-1075-1-2611,1,2009-08-22,111,現金,会費,18000,0,526000
7146,0001-20090826-131-1102-1-2665,1,2009-08-26,131,普通預金,会費,24000,0,550000
7248,0001-20090829-67-1119-1-2699,1,2009-08-29,111,現金,会費支払い,30000,0,580000
,,,2009-08,,※※月計※※,,116000,0,
8096,0001-20090915-117-1255-1-2971,1,2009-09-15,111,現金,会費,20000,0,600000
8112,0001-20090916-130-1258-1-2977,1,2009-09-16,131,普通預金,会費,24000,0,624000
8246,0001-20090920-163-1290-1-3041,1,2009-09-20,111,現金,会費,18000,0,642000
8466,0001-20090925-131-1328-1-3117,1,2009-09-25,131,普通預金,会費,24000,0,666000
9068,0001-20090930-67-1360-1-3181,1,2009-09-30,111,現金,会費支払い,30000,0,696000
,,,2009-09,,※※月計※※,,116000,0,
9503,0001-20091015-117-1486-1-3433,1,2009-10-15,111,現金,会費,20000,0,716000
9506,0001-20091015-130-1487-1-3435,1,2009-10-15,131,普通預金,会費,24000,0,740000
9842,0001-20091022-163-1538-1-3537,1,2009-10-22,111,現金,会費,18000,0,758000
10091,0001-20091026-131-1567-1-3595,1,2009-10-26,131,普通預金,会費,24000,0,782000
10578,0001-20091031-67-1596-1-3653,1,2009-10-31,111,現金,会費支払い,30000,0,812000
,,,2009-10,,※※月計※※,,116000,0,
10979,0001-20091115-117-1718-1-3897,1,2009-11-15,111,現金,会費,20000,0,832000
11058,0001-20091116-130-1721-1-3903,1,2009-11-16,131,普通預金,会費,24000,0,856000
11279,0001-20091121-163-1761-1-3983,1,2009-11-21,111,現金,会費,18000,0,874000
11599,0001-20091127-131-1807-1-4075,1,2009-11-27,131,普通預金,会費,24000,0,898000
11693,0001-20091129-67-1814-1-4089,1,2009-11-29,111,現金,会費支払い,30000,0,928000
,,,2009-11,,※※月計※※,,116000,0,
12528,0001-20091215-117-1946-1-4353,1,2009-12-15,111,現金,会費,20000,0,948000
12531,0001-20091215-130-1947-1-4355,1,2009-12-15,131,普通預金,会費,24000,0,972000
12731,0001-20091220-163-1993-1-4447,1,2009-12-20,111,現金,会費,18000,0,990000
12856,0001-20091222-131-2014-1-4489,1,2009-12-22,131,普通預金,会費,24000,0,1014000
13318,0001-20091228-67-2063-1-4587,1,2009-12-28,111,現金,会費支払い,30000,0,1044000
,,,2009-12,,※※月計※※,,116000,0,
14124,0001-20100115-130-2194-1-4849,1,2010-01-15,131,普通預金,会費,24000,0,1068000
14195,0001-20100116-117-2199-1-4859,1,2010-01-16,111,現金,会費,20000,0,1088000
14429,0001-20100121-163-2245-1-4951,1,2010-01-21,111,現金,会費,18000,0,1106000
14573,0001-20100125-131-2271-1-5003,1,2010-01-25,131,普通預金,会費,24000,0,1130000
15242,0001-20100131-67-2310-1-5081,1,2010-01-31,111,現金,会費支払い,30000,0,1160000
,,,2010-01,,※※月計※※,,116000,0,
15611,0001-20100215-117-2425-1-5311,1,2010-02-15,111,現金,会費,20000,0,1180000
15614,0001-20100215-130-2426-1-5313,1,2010-02-15,131,普通預金,会費,24000,0,1204000
15829,0001-20100220-163-2469-1-5399,1,2010-02-20,111,現金,会費,18000,0,1222000
16229,0001-20100226-131-2517-1-5495,1,2010-02-26,131,普通預金,会費,24000,0,1246000
16689,0001-20100228-67-2526-1-5513,1,2010-02-28,111,現金,会費支払い,30000,0,1276000
,,,2010-02,,※※月計※※,,116000,0,
17085,0001-20100315-130-2654-1-5769,1,2010-03-15,131,普通預金,会費,24000,0,1300000
17167,0001-20100316-117-2656-1-5773,1,2010-03-16,111,現金,会費,20000,0,1320000
17375,0001-20100321-163-2703-1-5867,1,2010-03-21,111,現金,会費,18000,0,1338000
17669,0001-20100325-131-2735-1-5931,1,2010-03-25,131,普通預金,会費,24000,0,1362000
18272,0001-20100331-67-2777-1-6015,1,2010-03-31,111,現金,会費支払い,30000,0,1392000
,,,2010-03,,※※月計※※,,116000,0,1392000
