num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,150,受取手形,,426025539,392166316,33859223
263,0001-20090410-258-53-1-567,1,2009-04-10,152,売掛金,09年4月10日伝票No194かめだデパート,7862107,0,7862107
539,0001-20090420-141-113-1-687,0,2009-04-20,121,当座預金,手形割引　もみじデパート,0,7736137,125970
543,0001-20090420-141-113-1-687,2,2009-04-20,821,支払利息,手形割引料,0,58382,67588
605,0001-20090420-302-124-1-709,1,2009-04-20,121,当座預金,手形満期　もみじデパート,0,9873980,-9806392
967,0001-20090425-273-167-1-795,1,2009-04-25,152,売掛金,09年4月25日伝票No201今井百貨店,20392404,0,10586012
1314,0001-20090430-283-225-1-911,1,2009-04-30,152,売掛金,09年4月30日伝票No206もみじデパート,11435166,0,22021178
1466,0001-20090430-303-241-1-943,1,2009-04-30,121,当座預金,手形満期　かめだデパート,0,7022119,14999059
,,,2009-04,,※※月計※※,,39689677,24690618,
1786,0001-20090510-93-284-1-1029,1,2009-05-10,152,売掛金,09年5月10日伝票No211かめだデパート,8368392,0,23367451
2101,0001-20090520-144-358-1-1177,0,2009-05-20,121,当座預金,手形割引　もみじデパート,0,11349497,12017954
2105,0001-20090520-144-358-1-1177,2,2009-05-20,821,支払利息,手形割引料,0,85669,11932285
2316,0001-20090525-110-397-1-1255,1,2009-05-25,152,売掛金,09年5月25日伝票No221今井百貨店,13987871,0,25920156
2844,0001-20090531-121-458-1-1377,1,2009-05-31,152,売掛金,09年5月31日伝票No227もみじデパート,11429498,0,37349654
2997,0001-20090531-138-475-1-1411,3,2009-05-31,121,当座預金,手形満期　今井百貨店,0,13153880,24195774
3002,0001-20090531-139-476-1-1413,1,2009-05-31,121,当座預金,手形満期　かめだデパート,0,7756692,16439082
,,,2009-05,,※※月計※※,,33785761,32345738,
3401,0001-20090610-98-529-1-1519,1,2009-06-10,152,売掛金,09年6月10日伝票No234かめだデパート,6971057,0,23410139
3653,0001-20090620-141-601-1-1663,0,2009-06-20,121,当座預金,手形割引　もみじデパート,0,11343777,12066362
3657,0001-20090620-141-601-1-1663,2,2009-06-20,821,支払利息,手形割引料,0,85721,11980641
3659,0001-20090620-143-602-1-1665,0,2009-06-20,121,当座預金,手形割引　かめだデパート,0,8305813,3674828
3663,0001-20090620-143-602-1-1665,2,2009-06-20,821,支払利息,手形割引料,0,62579,3612249
3876,0001-20090625-116-633-1-1727,1,2009-06-25,152,売掛金,09年6月25日伝票No244今井百貨店,15824516,0,19436765
4321,0001-20090630-127-687-1-1835,1,2009-06-30,152,売掛金,09年6月30日伝票No250もみじデパート,8523355,0,27960120
4493,0001-20090630-144-704-1-1869,3,2009-06-30,121,当座預金,手形満期　かめだデパート,0,7862107,20098013
4501,0001-20090630-145-705-1-1871,4,2009-06-30,121,当座預金,手形満期　今井百貨店,0,13932999,6165014
,,,2009-06,,※※月計※※,,31318928,41592996,
4957,0001-20090710-91-755-1-1971,1,2009-07-10,152,売掛金,09年7月10日伝票No257かめだデパート,6024279,0,12189293
5232,0001-20090720-137-826-1-2113,0,2009-07-20,121,当座預金,手形割引　もみじデパート,0,8459513,3729780
5236,0001-20090720-137-826-1-2113,2,2009-07-20,821,支払利息,手形割引料,0,63842,3665938
5242,0001-20090720-139-827-1-2115,2,2009-07-20,121,当座預金,手形割引　かめだデパート,0,6918775,-3252837
5246,0001-20090720-139-827-1-2115,4,2009-07-20,821,支払利息,手形割引料,0,52282,-3305119
5451,0001-20090725-109-863-1-2187,4,2009-07-25,152,売掛金,09年7月25日伝票No267今井百貨店,14812990,0,11507871
5969,0001-20090731-120-920-1-2301,1,2009-07-31,152,売掛金,09年7月31日伝票No273もみじデパート,10772743,0,22280614
6118,0001-20090731-139-938-1-2337,1,2009-07-31,121,当座預金,手形満期　今井百貨店,0,20392404,1888210
,,,2009-07,,※※月計※※,,31610012,35886816,
6475,0001-20090810-88-985-1-2431,1,2009-08-10,152,売掛金,09年8月10日伝票No280かめだデパート,6632047,0,8520257
6745,0001-20090820-145-1056-1-2573,0,2009-08-20,121,当座預金,手形割引　今井百貨店,0,15705932,-7185675
6749,0001-20090820-145-1056-1-2573,2,2009-08-20,821,支払利息,手形割引料,0,118584,-7304259
7061,0001-20090825-106-1092-1-2645,1,2009-08-25,152,売掛金,09年8月25日伝票No290今井百貨店,17349331,0,10045072
7447,0001-20090831-117-1150-1-2761,1,2009-08-31,152,売掛金,09年8月31日伝票No296もみじデパート,10229420,0,20274492
7581,0001-20090831-135-1168-1-2797,1,2009-08-31,121,当座預金,手形満期　今井百貨店,0,13987871,6286621
,,,2009-08,,※※月計※※,,34210798,29812387,
7895,0001-20090910-95-1212-1-2885,1,2009-09-10,152,売掛金,09年9月10日伝票No303かめだデパート,5178380,0,11465001
8175,0001-20090920-105-1279-1-3019,1,2009-09-20,121,当座預金,手形満期　もみじデパート,0,10772743,692258
8435,0001-20090925-113-1323-1-3107,1,2009-09-25,152,売掛金,09年9月25日伝票No313今井百貨店,14559712,0,15251970
8855,0001-20090930-124-1379-1-3219,1,2009-09-30,152,売掛金,09年9月30日伝票No319もみじデパート,11129575,0,26381545
8988,0001-20090930-142-1397-1-3255,1,2009-09-30,121,当座預金,手形満期　かめだデパート,0,6024279,20357266
,,,2009-09,,※※月計※※,,30867667,16797022,
