num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,121,当座預金,,414356648,404920083,9436565
285,0001-20090410-298-58-1-577,1,2009-04-10,301,支払手形,手形期日落日　チェック,0,7322934,-7322934
309,0001-20090411-229-61-1-583,1,2009-04-11,131,普通預金,資金移動,9000000,0,1677066
539,0001-20090420-141-113-1-687,0,2009-04-20,150,受取手形,手形割引　もみじデパート,7736137,0,9413203
585,0001-20090420-270-120-1-701,1,2009-04-20,312,買掛金,09年4月20日伝票No275株式会社　アタッチ,0,1416910,7996293
598,0001-20090420-299-123-1-707,1,2009-04-20,301,支払手形,手形期日落日　まつむら,0,5775130,2221163
605,0001-20090420-302-124-1-709,1,2009-04-20,150,受取手形,手形満期　もみじデパート,9873980,0,12095143
610,0001-20090420-307-125-1-711,1,2009-04-20,131,普通預金,資金移動,0,3500000,8595143
1100,0001-20090428-315-188-1-837,1,2009-04-28,131,普通預金,資金移動,0,3000000,5595143
1451,0001-20090430-300-240-1-941,1,2009-04-30,301,支払手形,手形期日落日　小藤丸,0,4787688,807455
1455,0001-20090430-300-240-1-941,3,2009-04-30,301,支払手形,手形期日落日　斉藤産業,0,2317977,-1510522
1459,0001-20090430-300-240-1-941,5,2009-04-30,301,支払手形,手形期日落日　鈴木販売,0,3900829,-5411351
1466,0001-20090430-303-241-1-943,1,2009-04-30,150,受取手形,手形満期　かめだデパート,7022119,0,1610768
1484,0001-20090430-314-245-1-951,0,2009-04-30,321,短期借入金,借入金返済,0,653500,957268
1488,0001-20090430-314-245-1-951,2,2009-04-30,821,支払利息,利息,0,32675,924593
,,,2009-04,,※※月計※※,,33632236,32707643,
1721,0001-20090510-139-289-1-1039,1,2009-05-10,301,支払手形,株式会社　チェック,0,5177928,-4253335
2101,0001-20090520-144-358-1-1177,0,2009-05-20,150,受取手形,手形割引　もみじデパート,11349497,0,7096162
2110,0001-20090520-145-359-1-1179,1,2009-05-20,131,普通預金,資金移動,0,15000000,-7903838
2997,0001-20090531-138-475-1-1411,3,2009-05-31,150,受取手形,手形満期　今井百貨店,13153880,0,5250042
3002,0001-20090531-139-476-1-1413,1,2009-05-31,150,受取手形,手形満期　かめだデパート,7756692,0,13006734
3005,0001-20090531-140-477-1-1415,1,2009-05-31,301,支払手形,手形期日落日　小藤丸,0,3512659,9494075
3009,0001-20090531-140-477-1-1415,3,2009-05-31,301,支払手形,手形期日落日　斉藤産業,0,1647815,7846260
3013,0001-20090531-140-477-1-1415,5,2009-05-31,301,支払手形,手形期日落日　鈴木販売,0,3005608,4840652
3039,0001-20090531-153-482-1-1425,0,2009-05-31,321,短期借入金,借入金返済,0,653500,4187152
3043,0001-20090531-153-482-1-1425,2,2009-05-31,821,支払利息,利息,0,32675,4154477
3053,0001-20090531-155-484-1-1429,1,2009-05-31,131,普通預金,資金移動,0,3000000,1154477
,,,2009-05,,※※月計※※,,32260069,32030185,
3331,0001-20090610-145-534-1-1529,1,2009-06-10,301,支払手形,手形期日落日　チェック,0,5714131,-4559654
3358,0001-20090610-64-522-1-1505,1,2009-06-10,111,現金,引き出し,0,1000000,-5559654
3653,0001-20090620-141-601-1-1663,0,2009-06-20,150,受取手形,手形割引　もみじデパート,11343777,0,5784123
3659,0001-20090620-143-602-1-1665,0,2009-06-20,150,受取手形,手形割引　かめだデパート,8305813,0,14089936
3668,0001-20090620-150-603-1-1667,1,2009-06-20,131,普通預金,資金移動,0,7000000,7089936
3715,0001-20090620-65-579-1-1619,1,2009-06-20,131,普通預金,資金移動,0,6000000,1089936
4493,0001-20090630-144-704-1-1869,3,2009-06-30,150,受取手形,手形満期　かめだデパート,7862107,0,8952043
4501,0001-20090630-145-705-1-1871,4,2009-06-30,150,受取手形,手形満期　今井百貨店,13932999,0,22885042
4504,0001-20090630-146-706-1-1873,1,2009-06-30,301,支払手形,手形期日落日　小藤丸,0,4161432,18723610
4508,0001-20090630-146-706-1-1873,3,2009-06-30,301,支払手形,手形期日落日　斉藤産業,0,1798460,16925150
4512,0001-20090630-146-706-1-1873,5,2009-06-30,301,支払手形,手形期日落日　鈴木販売,0,3129144,13796006
4527,0001-20090630-153-709-1-1879,0,2009-06-30,321,短期借入金,借入金返済,0,653500,13142506
4531,0001-20090630-153-709-1-1879,2,2009-06-30,821,支払利息,利息,0,32675,13109831
,,,2009-06,,※※月計※※,,41444696,29489342,
4879,0001-20090710-138-763-1-1987,1,2009-07-10,301,支払手形,手形期日落日　チェック,0,7368349,5741482
4993,0001-20090711-61-769-1-1999,1,2009-07-11,111,現金,引き出し,0,2000000,3741482
5232,0001-20090720-137-826-1-2113,0,2009-07-20,150,受取手形,手形割引　もみじデパート,8459513,0,12200995
5239,0001-20090720-139-827-1-2115,1,2009-07-20,301,支払手形,手形期日落日　まつむら,0,6181724,6019271
5242,0001-20090720-139-827-1-2115,2,2009-07-20,150,受取手形,手形割引　かめだデパート,6918775,0,12938046
5251,0001-20090720-142-828-1-2117,1,2009-07-20,131,普通預金,資金移動,0,19000000,-6061954
6118,0001-20090731-139-938-1-2337,1,2009-07-31,150,受取手形,手形満期　今井百貨店,20392404,0,14330450
6121,0001-20090731-140-939-1-2339,1,2009-07-31,301,支払手形,手形期日落日　小藤丸,0,5237507,9092943
6125,0001-20090731-140-939-1-2339,3,2009-07-31,301,支払手形,手形期日落日　斉藤産業,0,2599235,6493708
6129,0001-20090731-140-939-1-2339,5,2009-07-31,301,支払手形,手形期日落日　鈴木販売,0,4640751,1852957
6148,0001-20090731-148-943-1-2347,0,2009-07-31,321,短期借入金,借入金返済,0,653500,1199457
6152,0001-20090731-148-943-1-2347,2,2009-07-31,821,支払利息,利息,0,32675,1166782
