num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,312,買掛金,,521197759,514160620,7037139
266,0001-20090410-259-54-1-569,1,2009-04-10,152,売掛金,09年4月10日伝票No472株式会社　チェック,1961954,0,1961954
277,0001-20090410-261-56-1-573,1,2009-04-10,301,支払手形,09年4月10日伝票No271株式会社　チェック,7368349,0,9330303
280,0001-20090410-262-57-1-575,1,2009-04-10,131,普通預金,09年4月10日伝票No273株式会社　山下,402696,0,9732999
458,0001-20090415-268-85-1-631,1,2009-04-15,131,普通預金,09年4月15日伝票No274株式会社　Y2,3557473,0,13290472
585,0001-20090420-270-120-1-701,1,2009-04-20,121,当座預金,09年4月20日伝票No275株式会社　アタッチ,1416910,0,14707382
590,0001-20090420-271-121-1-703,1,2009-04-20,131,普通預金,09年4月20日伝票No276株式会社　ハナダ,3596039,0,18303421
595,0001-20090420-272-122-1-705,1,2009-04-20,301,支払手形,09年4月20日伝票No278株式会社　まつむら,6181724,0,24485145
1316,0001-20090430-284-226-1-913,0,2009-04-30,541,商品仕入高,09年4月1日～09年4月30日分仕入,0,177120,24308025
1317,0001-20090430-284-226-1-913,1,2009-04-30,191,仮払消費税等,09年4月1日～09年4月30日分仕入,0,8855,24299170
1319,0001-20090430-284-226-1-913,3,2009-04-30,541,商品仕入高,09年4月1日～09年4月30日分仕入,0,22560,24276610
1320,0001-20090430-284-226-1-913,4,2009-04-30,191,仮払消費税等,09年4月1日～09年4月30日分仕入,0,1128,24275482
1323,0001-20090430-285-227-1-915,0,2009-04-30,541,商品仕入高,09年4月1日～09年4月30日分仕入,0,1203488,23071994
1324,0001-20090430-285-227-1-915,1,2009-04-30,191,仮払消費税等,09年4月1日～09年4月30日分仕入,0,60164,23011830
1326,0001-20090430-285-227-1-915,3,2009-04-30,541,商品仕入高,09年4月1日～09年4月30日分仕入,0,5744680,17267150
1327,0001-20090430-285-227-1-915,4,2009-04-30,191,仮払消費税等,09年4月1日～09年4月30日分仕入,0,287189,16979961
1329,0001-20090430-285-227-1-915,6,2009-04-30,541,商品仕入高,09年4月1日～09年4月30日分仕入,0,3913864,13066097
1330,0001-20090430-285-227-1-915,7,2009-04-30,191,仮払消費税等,09年4月1日～09年4月30日分仕入,0,195684,12870413
1332,0001-20090430-285-227-1-915,9,2009-04-30,541,商品仕入高,09年4月1日～09年4月30日分仕入,0,307440,12562973
1333,0001-20090430-285-227-1-915,10,2009-04-30,191,仮払消費税等,09年4月1日～09年4月30日分仕入,0,15372,12547601
1335,0001-20090430-285-227-1-915,12,2009-04-30,541,商品仕入高,09年4月1日～09年4月30日分仕入,0,2776288,9771313
1336,0001-20090430-285-227-1-915,13,2009-04-30,191,仮払消費税等,09年4月1日～09年4月30日分仕入,0,138792,9632521
1339,0001-20090430-285-227-1-915,16,2009-04-30,541,商品仕入高,09年4月1日～09年4月30日分仕入,0,2461792,7170729
1340,0001-20090430-285-227-1-915,17,2009-04-30,191,仮払消費税等,09年4月1日～09年4月30日分仕入,0,123071,7047658
