num,GL02,GL02-GL55,date,contra_account,contra_account_name,note,debit_amount,credit_amount,balance
,,,,711,役員報酬,,20684172,0,20684172
852,0001-20090425-253-166-1-793,1,2009-04-25,131,普通預金,4月給与その他 0001 役員,1131093,0,1131093
855,0001-20090425-253-166-1-793,2,2009-04-25,326,預り金,4月給与その他 0001 役員,111192,0,1242285
858,0001-20090425-253-166-1-793,3,2009-04-25,326,預り金,4月給与その他 0001 役員,171200,0,1413485
861,0001-20090425-253-166-1-793,4,2009-04-25,326,預り金,4月給与その他 0001 役員,166823,0,1580308
864,0001-20090425-253-166-1-793,5,2009-04-25,326,預り金,4月給与その他 0001 役員,133972,0,1714280
867,0001-20090425-253-166-1-793,6,2009-04-25,326,預り金,4月給与その他 0001 役員,5720,0,1720000
,,,2009-04,,※※月計※※,,1720000,0,
2376,0001-20090525-86-394-1-1249,4,2009-05-25,131,普通預金,5月給与その他 0001 役員,1131093,0,2851093
2379,0001-20090525-86-394-1-1249,5,2009-05-25,326,預り金,5月給与その他 0001 役員,111192,0,2962285
2382,0001-20090525-86-394-1-1249,6,2009-05-25,326,預り金,5月給与その他 0001 役員,171200,0,3133485
2385,0001-20090525-86-394-1-1249,7,2009-05-25,326,預り金,5月給与その他 0001 役員,166823,0,3300308
2388,0001-20090525-86-394-1-1249,8,2009-05-25,326,預り金,5月給与その他 0001 役員,133972,0,3434280
2391,0001-20090525-86-394-1-1249,9,2009-05-25,326,預り金,5月給与その他 0001 役員,5720,0,3440000
,,,2009-05,,※※月計※※,,1720000,0,
3943,0001-20090625-91-631-1-1723,1,2009-06-25,131,普通預金,6月給与その他 0001 役員,1172293,0,4612293
3946,0001-20090625-91-631-1-1723,2,2009-06-25,326,預り金,6月給与その他 0001 役員,111192,0,4723485
3949,0001-20090625-91-631-1-1723,3,2009-06-25,326,預り金,6月給与その他 0001 役員,130000,0,4853485
3952,0001-20090625-91-631-1-1723,4,2009-06-25,326,預り金,6月給与その他 0001 役員,166823,0,5020308
3955,0001-20090625-91-631-1-1723,5,2009-06-25,326,預り金,6月給与その他 0001 役員,133972,0,5154280
3958,0001-20090625-91-631-1-1723,6,2009-06-25,326,預り金,6月給与その他 0001 役員,5720,0,5160000
,,,2009-06,,※※月計※※,,1720000,0,
5536,0001-20090725-85-859-1-2179,1,2009-07-25,131,普通預金,7月給与その他 0001 役員,1129093,0,6289093
5539,0001-20090725-85-859-1-2179,2,2009-07-25,326,預り金,7月給与その他 0001 役員,111192,0,6400285
5542,0001-20090725-85-859-1-2179,3,2009-07-25,326,預り金,7月給与その他 0001 役員,171200,0,6571485
5545,0001-20090725-85-859-1-2179,4,2009-07-25,326,預り金,7月給与その他 0001 役員,166823,0,6738308
5548,0001-20090725-85-859-1-2179,5,2009-07-25,326,預り金,7月給与その他 0001 役員,133972,0,6872280
5551,0001-20090725-85-859-1-2179,6,2009-07-25,326,預り金,7月給与その他 0001 役員,7720,0,6880000
,,,2009-07,,※※月計※※,,1720000,0,
6946,0001-20090824-82-1082-1-2625,1,2009-08-24,131,普通預金,8月給与その他 0001 役員,1127093,0,8007093
6949,0001-20090824-82-1082-1-2625,2,2009-08-24,326,預り金,8月給与その他 0001 役員,111192,0,8118285
6952,0001-20090824-82-1082-1-2625,3,2009-08-24,326,預り金,8月給与その他 0001 役員,171200,0,8289485
6955,0001-20090824-82-1082-1-2625,4,2009-08-24,326,預り金,8月給与その他 0001 役員,166823,0,8456308
6958,0001-20090824-82-1082-1-2625,5,2009-08-24,326,預り金,8月給与その他 0001 役員,133972,0,8590280
6961,0001-20090824-82-1082-1-2625,6,2009-08-24,326,預り金,8月給与その他 0001 役員,9720,0,8600000
,,,2009-08,,※※月計※※,,1720000,0,
8489,0001-20090925-89-1321-1-3103,1,2009-09-25,131,普通預金,9月給与その他 0001 役員,1130529,0,9730529
8492,0001-20090925-89-1321-1-3103,2,2009-09-25,326,預り金,9月給与その他 0001 役員,112236,0,9842765
8495,0001-20090925-89-1321-1-3103,3,2009-09-25,326,預り金,9月給与その他 0001 役員,171200,0,10013965
8498,0001-20090925-89-1321-1-3103,4,2009-09-25,326,預り金,9月給与その他 0001 役員,166343,0,10180308
8501,0001-20090925-89-1321-1-3103,5,2009-09-25,326,預り金,9月給与その他 0001 役員,133972,0,10314280
8504,0001-20090925-89-1321-1-3103,6,2009-09-25,326,預り金,9月給与その他 0001 役員,5720,0,10320000
,,,2009-09,,※※月計※※,,1720000,0,
9968,0001-20091025-81-1552-1-3565,1,2009-10-25,131,普通預金,10月給与その他 0001 役員,1121255,0,11441255
9971,0001-20091025-81-1552-1-3565,2,2009-10-25,326,預り金,10月給与その他 0001 役員,120411,0,11561666
9974,0001-20091025-81-1552-1-3565,3,2009-10-25,326,預り金,10月給与その他 0001 役員,171200,0,11732866
9977,0001-20091025-81-1552-1-3565,4,2009-10-25,326,預り金,10月給与その他 0001 役員,164442,0,11897308
9980,0001-20091025-81-1552-1-3565,5,2009-10-25,326,預り金,10月給与その他 0001 役員,133972,0,12031280
9983,0001-20091025-81-1552-1-3565,6,2009-10-25,326,預り金,10月給与その他 0001 役員,8720,0,12040000
,,,2009-10,,※※月計※※,,1720000,0,
11349,0001-20091123-82-1775-1-4011,1,2009-11-23,131,普通預金,11月給与その他 0001 役員,1122255,0,13162255
