month,account_code,account_name,beginning_balance,debit_amount,credit_amount,ending_balance
2009-07,111,現金,125623,10585496,9361685,1349434
2009-07,121,当座預金,15188901,143107693,141940911,16355683
2009-07,131,普通預金,21923628,296282471,291033134,27172965
2009-07,148,定期積金,3000000,2000000,0,5000000
2009-07,150,受取手形,37603155,136404378,134516168,39491365
2009-07,152,売掛金,-144094810,256328983,309498763,-197264590
2009-07,183,短期貸付金,-240000,0,160000,-400000
2009-07,191,仮払消費税等,14786558,9977489,0,24764047
2009-07,248,保険積立金,750000,500000,0,1250000
2009-07,301,支払手形,11246474,78279301,54792113,34733662
2009-07,312,買掛金,47360068,163342554,148543443,62159179
2009-07,321,短期借入金,3921000,2614000,0,6535000
2009-07,322,未払金,564809,29773959,30125977,212791
2009-07,326,預り金,-3845142,6438620,8486524,-5893046
2009-07,335,仮受消費税等,-18163527,476,12205806,-30368857
2009-07,511,売上高,-361496319,0,242865733,-604362052
2009-07,541,商品仕入高,207643085,140772253,0,348415338
2009-07,551,仕入値引戻し高,1221894,698654,0,1920548
2009-07,711,役員報酬,10320000,6880000,0,17200000
2009-07,712,給与手当,33428701,21737607,0,55166308
2009-07,721,雑給,1932604,1272427,0,3205031
2009-07,723,法定福利費,4504675,3442539,0,7947214
2009-07,724,福利厚生費,2066943,1432909,0,3499852
2009-07,726,旅費交通費,6083483,4019024,0,10102507
2009-07,727,通信費,7004557,4510077,0,11514634
2009-07,728,業務委託費,12530005,8593997,0,21124002
2009-07,731,運賃,20989227,14359813,0,35349040
2009-07,732,広告宣伝費,1017054,615909,0,1632963
2009-07,733,交際接待費,2227581,1299132,0,3526713
2009-07,734,会議費,200888,124249,0,325137
2009-07,736,水道光熱費,3683577,2385139,0,6068716
2009-07,737,消耗品費,1855187,2298686,1149343,3004530
2009-07,739,新聞図書費,146904,97936,0,244840
2009-07,740,車両費,3348901,2194293,0,5543194
2009-07,741,支払手数料,65250,44850,0,110100
2009-07,742,諸会費,696000,464000,0,1160000
2009-07,744,リース料,0,1119432,0,1119432
2009-07,746,支払報酬,798348,532232,0,1330580
2009-07,747,地代家賃,19708572,13139048,0,32847620
2009-07,752,保険料,1912920,1275280,0,3188200
2009-07,753,修繕維持費,353145,202144,0,555289
2009-07,754,事務用消耗品費,819902,521380,0,1341282
2009-07,791,雑費,2802919,1869437,0,4672356
2009-07,821,支払利息,690834,539175,0,1230009
,,,,1376254042,1385624084,
